,discharge,datetime
0,2306.0571,1901-01-01
1,2303.0935,1901-01-02
2,2298.3074,1901-01-03
3,2290.9712,1901-01-04
4,2281.4736,1901-01-05
5,2269.647,1901-01-06
6,2253.972,1901-01-07
7,2232.9443,1901-01-08
8,2212.3508,1901-01-09
9,2179.8665,1901-01-10
10,2146.3777,1901-01-11
11,2118.6506,1901-01-12
12,2087.5156,1901-01-13
13,2048.0603,1901-01-14
14,2002.2574,1901-01-15
15,1953.9244,1901-01-16
16,1905.5608,1901-01-17
17,1858.1941,1901-01-18
18,1821.0978,1901-01-19
19,1783.0376,1901-01-20
20,1749.048,1901-01-21
21,1727.8167,1901-01-22
22,1746.2861,1901-01-23
23,1855.8228,1901-01-24
24,2070.0203,1901-01-25
25,2272.567,1901-01-26
26,2321.0188,1901-01-27
27,2262.0457,1901-01-28
28,2199.898,1901-01-29
29,2148.826,1901-01-30
30,2122.6975,1901-01-31
31,2134.735,1901-02-01
32,2203.5767,1901-02-02
33,2340.4116,1901-02-03
34,2472.5051,1901-02-04
35,2519.2783,1901-02-05
36,2572.5425,1901-02-06
37,2634.3755,1901-02-07
38,2680.0825,1901-02-08
39,2679.4302,1901-02-09
40,2623.1238,1901-02-10
41,2536.8086,1901-02-11
42,2450.837,1901-02-12
43,2381.628,1901-02-13
44,2332.984,1901-02-14
45,2301.53,1901-02-15
46,2281.371,1901-02-16
47,2266.8289,1901-02-17
48,2253.5332,1901-02-18
49,2238.5479,1901-02-19
50,2219.0671,1901-02-20
51,2192.4495,1901-02-21
52,2158.6667,1901-02-22
53,2129.7144,1901-02-23
54,2148.8572,1901-02-24
55,2201.3157,1901-02-25
56,2157.4006,1901-02-26
57,2099.0808,1901-02-27
58,2047.8556,1901-02-28
59,2050.9153,1901-03-01
60,2121.9666,1901-03-02
61,2184.3853,1901-03-03
62,2228.0205,1901-03-04
63,2281.0925,1901-03-05
64,2329.6746,1901-03-06
65,2362.9495,1901-03-07
66,2405.9084,1901-03-08
67,2427.9912,1901-03-09
68,2417.0173,1901-03-10
69,2385.8298,1901-03-11
70,2347.3584,1901-03-12
71,2311.2368,1901-03-13
72,2282.737,1901-03-14
73,2262.4575,1901-03-15
74,2248.4475,1901-03-16
75,2237.762,1901-03-17
76,2227.3774,1901-03-18
77,2216.4285,1901-03-19
78,2221.6282,1901-03-20
79,2267.5908,1901-03-21
80,2351.4106,1901-03-22
81,2436.9626,1901-03-23
82,2478.0955,1901-03-24
83,2464.3733,1901-03-25
84,2419.8208,1901-03-26
85,2372.6804,1901-03-27
86,2329.367,1901-03-28
87,2287.1602,1901-03-29
88,2262.4106,1901-03-30
89,2306.2097,1901-03-31
90,2401.3616,1901-04-01
91,2407.5073,1901-04-02
92,2380.3289,1901-04-03
93,2394.8376,1901-04-04
94,2449.022,1901-04-05
95,2526.959,1901-04-06
96,2732.4846,1901-04-07
97,2989.514,1901-04-08
98,3162.6475,1901-04-09
99,3352.4321,1901-04-10
100,3588.2788,1901-04-11
101,3859.7593,1901-04-12
102,4073.8296,1901-04-13
103,4137.8804,1901-04-14
104,4074.1604,1901-04-15
105,3960.823,1901-04-16
106,3830.263,1901-04-17
107,3677.8503,1901-04-18
108,3512.3918,1901-04-19
109,3351.573,1901-04-20
110,3208.508,1901-04-21
111,3086.7036,1901-04-22
112,2984.5688,1901-04-23
113,2899.9988,1901-04-24
114,2830.0571,1901-04-25
115,2770.7327,1901-04-26
116,2721.5505,1901-04-27
117,2724.8333,1901-04-28
118,2834.4038,1901-04-29
119,3082.5325,1901-04-30
120,3420.8838,1901-05-01
121,3722.6548,1901-05-02
122,3923.3225,1901-05-03
123,3970.5342,1901-05-04
124,3848.543,1901-05-05
125,3623.4812,1901-05-06
126,3380.4727,1901-05-07
127,3181.6423,1901-05-08
128,3075.2322,1901-05-09
129,3084.4294,1901-05-10
130,3179.9233,1901-05-11
131,3246.538,1901-05-12
132,3243.258,1901-05-13
133,3214.9111,1901-05-14
134,3227.124,1901-05-15
135,3327.4575,1901-05-16
136,3486.19,1901-05-17
137,3604.7312,1901-05-18
138,3614.8848,1901-05-19
139,3525.3647,1901-05-20
140,3379.93,1901-05-21
141,3218.2922,1901-05-22
142,3077.225,1901-05-23
143,2986.4534,1901-05-24
144,2952.2764,1901-05-25
145,2966.2112,1901-05-26
146,3008.3923,1901-05-27
147,3087.06,1901-05-28
148,3220.0415,1901-05-29
149,3346.505,1901-05-30
150,3459.454,1901-05-31
151,3586.4585,1901-06-01
152,3715.67,1901-06-02
153,3735.143,1901-06-03
154,3595.6804,1901-06-04
155,3468.8362,1901-06-05
156,3313.8674,1901-06-06
157,3134.9797,1901-06-07
158,2854.4546,1901-06-08
159,2582.9858,1901-06-09
160,2494.5283,1901-06-10
161,2543.9604,1901-06-11
162,2479.5896,1901-06-12
163,2466.6216,1901-06-13
164,2480.9612,1901-06-14
165,2424.3608,1901-06-15
166,2299.558,1901-06-16
167,2183.0198,1901-06-17
168,2175.057,1901-06-18
169,2322.7603,1901-06-19
170,2545.9836,1901-06-20
171,2740.866,1901-06-21
172,2848.3984,1901-06-22
173,2834.271,1901-06-23
174,2732.0808,1901-06-24
175,2601.069,1901-06-25
176,2468.53,1901-06-26
177,2324.6814,1901-06-27
178,2161.887,1901-06-28
179,2019.9835,1901-06-29
180,1921.5577,1901-06-30
181,1891.1948,1901-07-01
182,1907.8192,1901-07-02
183,2029.0212,1901-07-03
184,2303.6667,1901-07-04
185,2579.0015,1901-07-05
186,2710.465,1901-07-06
187,2717.9812,1901-07-07
188,2589.0833,1901-07-08
189,2404.618,1901-07-09
190,2146.3677,1901-07-10
191,1978.9602,1901-07-11
192,1782.736,1901-07-12
193,1577.9326,1901-07-13
194,1443.7333,1901-07-14
195,1302.7948,1901-07-15
196,1260.2969,1901-07-16
197,1198.7385,1901-07-17
198,1118.2129,1901-07-18
199,1070.6825,1901-07-19
200,997.50183,1901-07-20
201,1001.4945,1901-07-21
202,957.1084,1901-07-22
203,954.20886,1901-07-23
204,961.8304,1901-07-24
205,990.06445,1901-07-25
206,1037.9524,1901-07-26
207,1082.1055,1901-07-27
208,1089.0208,1901-07-28
209,1142.1321,1901-07-29
210,1342.9849,1901-07-30
211,1490.9023,1901-07-31
212,1607.9108,1901-08-01
213,1703.6368,1901-08-02
214,1846.4725,1901-08-03
215,2103.7004,1901-08-04
216,2419.4883,1901-08-05
217,2831.7668,1901-08-06
218,3239.1255,1901-08-07
219,3128.2842,1901-08-08
220,2783.5942,1901-08-09
221,2426.0964,1901-08-10
222,2360.588,1901-08-11
223,2989.153,1901-08-12
224,3391.0425,1901-08-13
225,3273.3057,1901-08-14
226,3041.1147,1901-08-15
227,3091.8318,1901-08-16
228,3276.3157,1901-08-17
229,3163.334,1901-08-18
230,2854.339,1901-08-19
231,2551.8562,1901-08-20
232,2325.327,1901-08-21
233,2167.758,1901-08-22
234,2057.5076,1901-08-23
235,1978.0328,1901-08-24
236,1917.2052,1901-08-25
237,1889.7983,1901-08-26
238,1987.8306,1901-08-27
239,2158.3682,1901-08-28
240,2569.818,1901-08-29
241,2920.9297,1901-08-30
242,2973.0234,1901-08-31
243,2796.7405,1901-09-01
244,2507.517,1901-09-02
245,2287.1782,1901-09-03
246,2108.6736,1901-09-04
247,1974.9004,1901-09-05
248,1940.5566,1901-09-06
249,1972.0477,1901-09-07
250,2291.276,1901-09-08
251,3118.424,1901-09-09
252,4302.7065,1901-09-10
253,5360.093,1901-09-11
254,5847.423,1901-09-12
255,5588.1973,1901-09-13
256,4911.887,1901-09-14
257,4239.6743,1901-09-15
258,3681.521,1901-09-16
259,3266.4658,1901-09-17
260,2952.4597,1901-09-18
261,2689.5215,1901-09-19
262,2514.3328,1901-09-20
263,2403.648,1901-09-21
264,2437.469,1901-09-22
265,2528.4746,1901-09-23
266,2465.7427,1901-09-24
267,2486.3452,1901-09-25
268,2635.8052,1901-09-26
