"datetime","obs","pcr","res"
1981-01-01,670,798.31604,-128.31604
1981-01-02,647,779.0942,-132.0942
1981-01-03,727,955.64905,-228.64905
1981-01-04,1363,1039.2378,323.7622
1981-01-05,1202,1004.8075,197.1925
1981-01-06,1026,988.33545,37.66455
1981-01-07,998,986.4389,11.5611
1981-01-08,950,986.4654,-36.4654
1981-01-09,904,984.56586,-80.56586
1981-01-10,873,968.56445,-95.56445
1981-01-11,857,956.79456,-99.79456
1981-01-12,813,948.29535,-135.29535
1981-01-13,756,939.87,-183.87
1981-01-14,744,954.12836,-210.12836
1981-01-15,860,942.5269,-82.5269
1981-01-16,928,965.7509,-37.7509
1981-01-17,888,1017.11334,-129.11334
1981-01-18,925,1005.8899,-80.8899
1981-01-19,917,928.4884,-11.4884
1981-01-20,1112,891.70905,220.29095
1981-01-21,1019,872.86725,146.13275
1981-01-22,964,864.30853,99.69147
1981-01-23,902,854.54553,47.45447
1981-01-24,859,849.825,9.17499999999995
1981-01-25,804,845.04877,-41.04877
1981-01-26,772,833.6261,-61.6261
1981-01-27,722,836.6426,-114.6426
1981-01-28,708,834.76776,-126.76776
1981-01-29,717,820.8788,-103.8788
1981-01-30,681,821.50696,-140.50696
1981-01-31,655,789.78827,-134.78827
1981-02-01,630,661.21387,-31.21387
1981-02-02,621,619.3418,1.65819999999997
1981-02-03,619,641.69116,-22.69116
1981-02-04,912,718.5289,193.4711
1981-02-05,904,717.6848,186.3152
1981-02-06,840,729.80206,110.19794
1981-02-07,835,759.9008,75.0992
1981-02-08,1030,851.25073,178.74927
1981-02-09,1069,873.8426,195.1574
1981-02-10,1001,881.5562,119.4438
1981-02-11,993,886.8431,106.1569
1981-02-12,933,887.3295,45.6704999999999
1981-02-13,877,881.5087,-4.50869999999998
1981-02-14,824,875.8005,-51.8005000000001
1981-02-15,793,820.2144,-27.2144
1981-02-16,782,744.2006,37.7994
1981-02-17,724,719.5235,4.47649999999999
1981-02-18,739,713.54224,25.45776
1981-02-19,704,709.0624,-5.06240000000003
1981-02-20,693,705.18756,-12.18756
1981-02-21,659,703.92505,-44.9250500000001
1981-02-22,652,693.4558,-41.4558
1981-02-23,630,693.65576,-63.65576
1981-02-24,633,692.7248,-59.7248
1981-02-25,614,671.5626,-57.5626
1981-02-26,594,675.7506,-81.7506
1981-02-27,591,667.9422,-76.9422
1981-02-28,587,644.9759,-57.9759
1981-03-01,608,666.3701,-58.3701
1981-03-02,611,708.6565,-97.6565000000001
1981-03-03,766,800.32574,-34.32574
1981-03-04,871,807.7907,63.2093
1981-03-05,835,793.60516,41.39484
1981-03-06,821,789.6325,31.3674999999999
1981-03-07,892,787.7939,104.2061
1981-03-08,1044,786.6535,257.3465
1981-03-09,1463,785.747,677.253
1981-03-10,1678,784.8365,893.1635
1981-03-11,1789,809.90326,979.09674
1981-03-12,2205,898.5296,1306.4704
1981-03-13,2757,864.8411,1892.1589
1981-03-14,2184,949.0666,1234.9334
1981-03-15,1899,1101.5105,797.4895
1981-03-16,1775,1081.6664,693.3336
1981-03-17,1699,1030.4581,668.5419
1981-03-18,1610,1013.0786,596.9214
1981-03-19,1509,956.1573,552.8427
1981-03-20,1457,937.8634,519.1366
1981-03-21,1392,938.8883,453.1117
1981-03-22,1306,929.9046,376.0954
1981-03-23,1292,938.58923,353.41077
1981-03-24,1422,973.4393,448.5607
1981-03-25,1657,1269.3798,387.6202
1981-03-26,1804,1757.3502,46.6497999999999
1981-03-27,1893,1942.8541,-49.8541
1981-03-28,1717,1997.9277,-280.9277
1981-03-29,1642,2249.1638,-607.1638
1981-03-30,1645,2639.398,-994.398
1981-03-31,1722,2895.7488,-1173.7488
1981-04-01,1758,3192.5566,-1434.5566
1981-04-02,1762,2711.2144,-949.2144
1981-04-03,1790,2496.453,-706.453
1981-04-04,1775,2324.8596,-549.8596
1981-04-05,1735,2231.6409,-496.6409
1981-04-06,1741,2130.3164,-389.3164
1981-04-07,1712,2109.7131,-397.7131
1981-04-08,1694,2151.1836,-457.1836
1981-04-09,1679,2149.5293,-470.5293
1981-04-10,1628,2291.2273,-663.2273
1981-04-11,1627,2371.0728,-744.0728
1981-04-12,1578,2633.5564,-1055.5564
1981-04-13,1522,2532.3228,-1010.3228
1981-04-14,1550,2679.8945,-1129.8945
1981-04-15,1550,2302.3335,-752.3335
1981-04-16,1603,2128.3516,-525.3516
1981-04-17,1535,2064.6125,-529.6125
1981-04-18,1445,2003.2671,-558.2671
1981-04-19,1354,1890.6337,-536.6337
1981-04-20,1312,1861.5692,-549.5692
1981-04-21,1274,1835.506,-561.506
1981-04-22,1231,1505.6477,-274.6477
1981-04-23,1180,1328.0847,-148.0847
1981-04-24,1118,1315.9647,-197.9647
1981-04-25,1086,1459.2395,-373.2395
1981-04-26,1064,1436.1448,-372.1448
1981-04-27,1072,1404.4344,-332.4344
1981-04-28,1044,1299.009,-255.009
1981-04-29,1030,1241.2402,-211.2402
1981-04-30,1019,1234.7218,-215.7218
1981-05-01,1023,1259.7286,-236.7286
1981-05-02,1134,1246.5859,-112.5859
1981-05-03,1119,1233.6525,-114.6525
1981-05-04,1052,1264.8844,-212.8844
1981-05-05,1072,1255.7544,-183.7544
1981-05-06,1094,1235.7922,-141.7922
1981-05-07,1056,1257.8965,-201.8965
1981-05-08,1048,1400.5149,-352.5149
1981-05-09,1013,1445.7103,-432.7103
1981-05-10,970,1484.1294,-514.1294
1981-05-11,979,1495.2662,-516.2662
1981-05-12,994,1455.8928,-461.8928
1981-05-13,1013,1426.0391,-413.0391
1981-05-14,1003,1406.3141,-403.3141
1981-05-15,1011,1464.3951,-453.3951
1981-05-16,1000,1462.4338,-462.4338
1981-05-17,1005,1448.9115,-443.9115
1981-05-18,1006,1404.444,-398.444
1981-05-19,964,1398.7692,-434.7692
1981-05-20,965,1259.7655,-294.7655
1981-05-21,944,1301.4906,-357.4906
1981-05-22,968,1335.9103,-367.9103
1981-05-23,1033,1371.8196,-338.8196
1981-05-24,1054,1406.665,-352.665
1981-05-25,1163,1479.8369,-316.8369
1981-05-26,1567,1565.2874,1.71260000000007
1981-05-27,1993,1571.2667,421.7333
1981-05-28,1925,1574.4122,350.5878
1981-05-29,1810,1557.6694,252.3306
1981-05-30,1773,1510.5004,262.4996
1981-05-31,1589,1517.1039,71.8960999999999
1981-06-01,1513,1492.9912,20.0088000000001
1981-06-02,1486,1475.1082,10.8918000000001
1981-06-03,1446,1506.6832,-60.6831999999999
1981-06-04,1545,1468.6041,76.3959
1981-06-05,1528,1437.5283,90.4717000000001
1981-06-06,1520,1418.6401,101.3599
1981-06-07,1468,1410.8561,57.1439
1981-06-08,1439,1384.967,54.0329999999999
1981-06-09,1445,1487.1807,-42.1806999999999
1981-06-10,1475,1408.1559,66.8441
1981-06-11,1528,1310.9375,217.0625
1981-06-12,1486,1246.1891,239.8109
1981-06-13,1458,1242.0117,215.9883
1981-06-14,1437,1241.3917,195.6083
1981-06-15,1408,1206.4702,201.5298
1981-06-16,1390,1055.8606,334.1394
1981-06-17,1374,1019.44794,354.55206
1981-06-18,1351,1008.39923,342.60077
1981-06-19,1349,994.78577,354.21423
1981-06-20,1354,1019.55804,334.44196
1981-06-21,1266,1087.584,178.416
1981-06-22,1225,1067.9368,157.0632
1981-06-23,1225,993.9875,231.0125
1981-06-24,1139,1053.0383,85.9617000000001
1981-06-25,1116,1153.1836,-37.1836000000001
1981-06-26,1139,1175.9539,-36.9539
1981-06-27,1096,1146.5853,-50.5853
1981-06-28,1054,1163.7594,-109.7594
1981-06-29,1170,1211.4324,-41.4323999999999
1981-06-30,1098,1194.5831,-96.5831000000001
1981-07-01,1064,1182.9264,-118.9264
1981-07-02,1048,1170.4839,-122.4839
1981-07-03,1075,1212.8861,-137.8861
1981-07-04,1251,1204.6377,46.3623
1981-07-05,1236,1179.5466,56.4534000000001
1981-07-06,1199,1166.6497,32.3503000000001
1981-07-07,1170,1156.1848,13.8152
1981-07-08,1147,1147.292,-0.291999999999916
1981-07-09,1137,1156.8158,-19.8158000000001
1981-07-10,1143,1205.4277,-62.4277
1981-07-11,1242,1252.2317,-10.2317
1981-07-12,1328,1245.2472,82.7528
1981-07-13,1340,1231.6785,108.3215
1981-07-14,1284,1228.0293,55.9707000000001
1981-07-15,1263,1216.8038,46.1962000000001
1981-07-16,1219,1200.7639,18.2361000000001
1981-07-17,1205,1269.079,-64.079
1981-07-18,1289,1292.0209,-3.02089999999998
1981-07-19,2118,1534.0901,583.9099
1981-07-20,2097,2000.3098,96.6902
1981-07-21,2006,1969.0957,36.9042999999999
1981-07-22,1971,1872.3915,98.6085
1981-07-23,1949,2383.7036,-434.7036
1981-07-24,2040,2973.4343,-933.4343
1981-07-25,2288,2830.9275,-542.9275
1981-07-26,2340,2609.3862,-269.3862
1981-07-27,2261,2258.292,2.70800000000008
1981-07-28,2138,2082.535,55.4650000000001
1981-07-29,2018,1876.5493,141.4507
1981-07-30,1913,1824.9427,88.0572999999999
1981-07-31,1844,1773.7189,70.2810999999999
1981-08-01,1724,1716.8711,7.12889999999993
1981-08-02,1636,1696.0508,-60.0508
1981-08-03,1606,1688.6761,-82.6760999999999
1981-08-04,1506,1614.7783,-108.7783
1981-08-05,1467,1429.9636,37.0364
1981-08-06,1442,1353.6357,88.3643
1981-08-07,1458,1631.845,-173.845
1981-08-08,1414,1721.519,-307.519
1981-08-09,1573,1744.7102,-171.7102
1981-08-10,1610,1648.9576,-38.9576
1981-08-11,1471,1610.4502,-139.4502
1981-08-12,1410,1605.9272,-195.9272
1981-08-13,1373,1575.8287,-202.8287
1981-08-14,1337,1386.0254,-49.0254
1981-08-15,1298,1251.626,46.374
1981-08-16,1249,1244.5002,4.49980000000005
1981-08-17,1231,1241.8777,-10.8777
1981-08-18,1229,1240.8759,-11.8759
1981-08-19,1204,1240.5114,-36.5114000000001
1981-08-20,1202,1260.0212,-58.0211999999999
1981-08-21,1223,1248.1368,-25.1368
1981-08-22,1279,1239.7074,39.2926
1981-08-23,1184,1220.0323,-36.0323000000001
1981-08-24,1171,1080.0406,90.9594
1981-08-25,1114,1033.102,80.8979999999999
1981-08-26,1062,1011.45776,50.54224
1981-08-27,1002,991.57446,10.42554
1981-08-28,971,971.5684,-0.568399999999997
1981-08-29,920,951.6631,-31.6631
1981-08-30,902,932.0752,-30.0752
1981-08-31,889,912.88336,-23.88336
1981-09-01,1030,1052.6271,-22.6270999999999
1981-09-02,1229,1168.2578,60.7421999999999
1981-09-03,1048,1168.9315,-120.9315
1981-09-04,974,1165.6863,-191.6863
1981-09-05,916,1164.7273,-248.7273
1981-09-06,894,1112.9515,-218.9515
1981-09-07,879,940.2588,-61.2588
1981-09-08,850,895.09326,-45.09326
