,baseflow,channelStorage,directRunoff,domesticWaterWithdrawal,gwRecharge,industryWaterWithdrawal,interflowTotal,irrigationWaterWithdrawal,livestockWaterWithdrawal,nonIrrWaterConsumption,snowCoverSWE,snowFreeWater,storGroundwater,storLowTotal,storUppTotal,surfaceWaterStorage,totalEvaporation,totLandSurfaceActuaET
0,0.0011737779,24004494.0,6.5322015e-06,3.1905292e-05,0.0013126011,7.211713e-05,0.0,0.0,1.15051115e-07,7.879537e-05,0.025744598,0.0011935256,0.20705716,0.20457357,0.05584373,0.011411348,0.00019377365,0.00019376565
1,0.0011744917,23421512.0,0.00026863665,3.1905292e-05,0.0012421355,7.211714e-05,6.3659045e-06,0.0,1.15051115e-07,7.8795376e-05,0.024792809,0.0011438504,0.20708846,0.20427224,0.058774427,0.011133033,0.00022760303,0.00022759367
2,0.0011748474,38827910.0,0.0027436446,3.1905292e-05,0.001204242,7.211714e-05,0.005463992,0.0,1.15051115e-07,7.879537e-05,0.023169635,0.0018588234,0.20708151,0.20319504,0.06841376,0.018417597,0.00028053494,0.00028052388
3,0.0011757483,42043740.0,0.0019004528,3.1905292e-05,0.001254404,7.211714e-05,0.00073881645,0.0,1.15051115e-07,7.879537e-05,0.034486044,0.0017369797,0.20712377,0.20482273,0.07420848,0.019951742,0.00021829951,0.00021829091
4,0.0011790369,41463850.0,0.0,3.1905292e-05,0.0014866313,7.211714e-05,0.000758201,0.0,1.15051115e-07,7.879537e-05,0.039481148,0.0016263116,0.20739499,0.20744185,0.069468915,0.019678518,0.00018117558,0.00018116832
5,0.0011862228,41841380.0,0.0001361367,3.1905292e-05,0.0019226089,7.211713e-05,0.0010373661,0.0,1.15051115e-07,7.8795376e-05,0.05283116,0.0015323451,0.20809495,0.20898654,0.06564302,0.019866178,0.00017906439,0.00017905721
6,0.0011951909,39975724.0,0.0,3.1905292e-05,0.0021268246,7.211713e-05,9.3641065e-05,0.0,1.15051115e-07,7.8795376e-05,0.054581717,0.0014339667,0.20899022,0.2095294,0.062795475,0.01898075,0.00013570662,0.00013570103
7,0.0012051024,38222190.0,0.0,3.1905292e-05,0.0021210655,7.211713e-05,0.00013627445,0.0,1.15051115e-07,7.879537e-05,0.054653414,0.0013450697,0.20986974,0.20940177,0.060580347,0.018147603,0.00010318771,0.00010318313
8,0.0012146162,36259492.0,0.0,3.1905292e-05,0.002050339,7.211713e-05,2.405496e-05,0.0,1.15051115e-07,7.879537e-05,0.054763306,0.0012597035,0.21066901,0.20891269,0.058901355,0.017215136,0.00011336681,0.00011336182
9,0.0012230364,34369264.0,0.0,3.1905292e-05,0.0019245225,7.211714e-05,1.5507678e-05,0.0,1.15051115e-07,7.879537e-05,0.055457756,0.0011811856,0.21133408,0.20836405,0.057620846,0.016317055,0.00013842697,0.00013842095
10,0.0012305018,32527100.0,0.0,3.1905292e-05,0.001801428,7.211714e-05,5.4657826e-06,0.0,1.15051115e-07,7.8795376e-05,0.055516813,0.0011021473,0.21186854,0.2075969,0.05646639,0.015441984,0.00013469243,0.00013468643
11,0.0012368392,30733500.0,0.0,3.1905292e-05,0.0016834014,7.211713e-05,3.8368e-06,0.0,1.15051115e-07,7.879537e-05,0.05789666,0.0010281833,0.21227865,0.20689134,0.055395596,0.014590041,0.00015015471,0.0001501491
12,0.0012420766,28984152.0,0.0,3.1905292e-05,0.0015824192,7.211714e-05,1.4304944e-06,0.0,1.15051115e-07,7.879537e-05,0.060966805,0.0009567388,0.21258251,0.20614019,0.054475058,0.013759154,0.00015729526,0.00015728938
13,0.0012460517,27662056.0,0.00023238626,3.1905292e-05,0.0014822319,7.211714e-05,0.0,0.0,1.15051115e-07,7.879537e-05,0.07275533,0.0010078152,0.2127822,0.20540202,0.05525856,0.013131485,0.00018066808,0.00018066117
14,0.0012492534,26176606.0,0.00012309791,3.1905292e-05,0.0014063861,7.211714e-05,2.4874007e-06,0.0,1.1505113e-07,7.879537e-05,0.07821993,0.0012415834,0.21290283,0.20468666,0.05570849,0.012425248,0.0001919377,0.0001919304
15,0.001251629,25617972.0,0.00060773356,3.1905292e-05,0.0013356032,7.211714e-05,9.099865e-06,0.0,1.15051115e-07,7.879537e-05,0.080566384,0.0015495606,0.21295027,0.20424418,0.05859332,0.012160789,0.00019289591,0.00019288859
16,0.0012535739,28828336.0,0.002482504,3.1905292e-05,0.001294177,7.211713e-05,3.420228e-05,0.0,1.15051115e-07,7.879537e-05,0.0732411,0.001816978,0.21295434,0.20409912,0.06885846,0.013685722,0.00022270161,0.00022269288
17,0.0012556324,28917510.0,0.0007327231,3.1905292e-05,0.0012831232,7.211714e-05,0.0003012751,0.0,1.15051115e-07,7.879537e-05,0.07335067,0.0014965789,0.21294534,0.20565744,0.071084596,0.013724311,0.00021875421,0.00021874582
18,0.0012604715,30672148.0,0.0014089715,3.1905292e-05,0.0014397384,7.211714e-05,0.0002104558,0.0,1.15051115e-07,7.8795376e-05,0.079531066,0.0013642607,0.21312097,0.20776491,0.07491484,0.01455544,0.00021926657,0.00021925812
19,0.0012671574,30257256.0,3.2495698e-06,3.1905292e-05,0.0017085628,7.211713e-05,0.0005021191,0.0,1.15051115e-07,7.879537e-05,0.086096,0.0012566135,0.21352582,0.21002385,0.07072185,0.014359531,0.00019070727,0.00019069992
20,0.0012758491,29371736.0,0.0,3.1905292e-05,0.0019546347,7.211714e-05,0.0002334903,0.0,1.15051115e-07,7.879537e-05,0.086158834,0.0011612163,0.21416803,0.21169773,0.066747144,0.013940674,0.00014529993,0.00014529377
21,0.0012855803,28475024.0,0.0,3.1905292e-05,0.0021220068,7.211714e-05,0.00019945884,0.0,1.15051115e-07,7.879537e-05,0.0862169,0.0010723649,0.21496788,0.21256337,0.06345823,0.013516319,0.00013260006,0.00013259453
22,0.00129572,27342184.0,0.0,3.1905292e-05,0.0021879575,7.211714e-05,5.686601e-05,0.0,1.15051115e-07,7.879537e-05,0.08627051,0.0009888867,0.21582353,0.21270213,0.060976952,0.012980541,0.00012756503,0.0001275598
23,0.0013057345,26234406.0,0.0,3.1905292e-05,0.0021825875,7.211714e-05,4.8360544e-05,0.0,1.15051115e-07,7.879537e-05,0.08631996,0.00090494927,0.2166638,0.21241446,0.058916725,0.012456404,0.00015143235,0.00015142612
24,0.0013150461,25093092.0,1.4457464e-06,3.1905292e-05,0.0021106172,7.211714e-05,1.1584449e-05,0.0,1.15051115e-07,7.8795376e-05,0.08602399,0.00083918264,0.21742274,0.21179694,0.058993697,0.01191642,0.00019444227,0.00019443451
25,0.0013233364,24016674.0,0.0,3.1905292e-05,0.0019949444,7.211713e-05,1.0936053e-05,0.0,1.15051115e-07,7.879537e-05,0.08559282,0.00078418176,0.21805774,0.21121594,0.05797125,0.01140689,0.00019793841,0.00019793009
26,0.0013307832,22933948.0,0.0,3.1905292e-05,0.0018979182,7.211713e-05,7.0129404e-06,0.0,1.15051115e-07,7.879537e-05,0.085632026,0.0007097117,0.21858823,0.21054073,0.05661652,0.010894127,0.00016026139,0.00016025486
27,0.0013372464,21865558.0,0.0,3.1905292e-05,0.0018251489,7.211714e-05,3.3101567e-06,0.0,1.15051115e-07,7.879537e-05,0.08566751,0.00064135954,0.21903951,0.20970824,0.055505835,0.010388112,0.00014760184,0.00014759589
28,0.0013424099,20865520.0,0.0,3.1905292e-05,0.0017260006,7.211714e-05,6.2926904e-07,0.0,1.15051115e-07,7.8795376e-05,0.08569958,0.0005813827,0.21938646,0.20886391,0.054507706,0.009914731,0.00014373862,0.00014373283
29,0.0013461743,19869370.0,0.0,3.1905292e-05,0.0016222349,7.211714e-05,8.89589e-08,0.0,1.15051115e-07,7.8795376e-05,0.08572865,0.0005265497,0.21962583,0.20802033,0.05360296,0.0094430195,0.0001517971,0.00015179103
30,0.0013483698,19000648.0,0.0,3.1905292e-05,0.0015237381,7.211713e-05,0.0,0.0,1.15051115e-07,7.879537e-05,0.08575497,0.0004737931,0.21976453,0.2071094,0.05285561,0.009030326,0.00016096649,0.00016096006
31,0.0013489549,18698522.0,0.0,3.5903457e-05,0.0014302479,7.9843965e-05,0.0,0.0,1.3215339e-07,6.981116e-05,0.08577866,0.00041096707,0.21981299,0.20611575,0.052203532,0.008886394,0.00025461905,0.00025460633
32,0.0013481785,18585166.0,0.0,3.5903457e-05,0.0013426265,7.9843965e-05,0.0,0.0,1.3215339e-07,6.981116e-05,0.08579922,0.0003521921,0.21979849,0.20507427,0.051688593,0.008832538,0.00025204194,0.0002520291
33,0.0013461844,19535464.0,0.00052641623,3.5903457e-05,0.0012603573,7.9843965e-05,0.0,0.0,1.3215339e-07,6.981116e-05,0.08731222,0.00048647498,0.21970372,0.20406322,0.05657946,0.009283775,0.0003645672,0.00036454934
34,0.0013433114,20086036.0,0.0004083335,3.5903457e-05,0.0011886675,7.9843965e-05,9.800657e-05,0.0,1.3215339e-07,6.981116e-05,0.09220653,0.000405232,0.21951106,0.20412397,0.06000766,0.009546287,0.0003466554,0.0003466385
35,0.0013406674,20091462.0,3.717454e-05,3.5903457e-05,0.0012040008,7.9843965e-05,0.00021046816,0.0,1.3215339e-07,6.981116e-05,0.096614145,0.00034973794,0.21933636,0.2047947,0.059571166,0.0095489705,0.0003130516,0.00031303635
