"datetime","et","p","t","et_1","p_1","t_1","et_2","p_2","t_2","et_3","p_3","t_3","et_4","p_4","t_4","et_5","p_5","t_5","et_6","p_6","t_6","et_7","p_7","t_7","et_8","p_8","t_8","et_9","p_9","t_9","et_10","p_10","t_10"
1981-01-01,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-02,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-03,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-04,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-05,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-06,0.00035987108,0.014255202,-2.2185044,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-07,0.00028169254,0.0017078385,-6.3664584,0.00035987108,0.014255202,-2.2185044,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-08,0.00022127258,0,-10.7318325,0.00028169254,0.0017078385,-6.3664584,0.00035987108,0.014255202,-2.2185044,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-09,0.00024293065,4.4272132e-05,-8.999503,0.00022127258,0,-10.7318325,0.00028169254,0.0017078385,-6.3664584,0.00035987108,0.014255202,-2.2185044,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA,NA,NA,NA
1981-01-10,0.0002948499,0.0008673464,-5.6465535,0.00024293065,4.4272132e-05,-8.999503,0.00022127258,0,-10.7318325,0.00028169254,0.0017078385,-6.3664584,0.00035987108,0.014255202,-2.2185044,0.0003640502,0.0051952917,-2.0553913,0.00044269944,0.022733811,1.0196867,0.0005762111,0.017351951,5.165919,0.00047179507,0.0033785983,2.1723855,0.00040497936,0.0035355974,-0.2508163,NA,NA,NA
