,et,p,t
0,0.00040497936,0.0035355974,-0.2508163
1,0.00047179507,0.0033785983,2.1723855
2,0.0005762111,0.017351951,5.165919
3,0.00044269944,0.022733811,1.0196867
4,0.0003640502,0.0051952917,-2.0553913
5,0.00035987108,0.014255202,-2.2185044
6,0.00028169254,0.0017078385,-6.3664584
7,0.00022127258,0.0,-10.7318325
8,0.00024293065,4.4272132e-05,-8.999503
9,0.0002948499,0.0008673464,-5.6465535
10,0.00028902074,0.0,-5.925995
11,0.0002992593,0.0023717612,-5.499934
12,0.00031192877,0.0030722518,-4.7690654
13,0.0003622558,0.01378513,-2.2989745
14,0.00038570454,0.007162299,-1.4850451
15,0.0003891983,0.007247581,-1.3167936
16,0.0004623774,0.0070995055,1.1992297
17,0.00044430298,0.006114523,0.55621624
18,0.00044606425,0.015268874,0.61826974
19,0.00038533844,0.006933111,-1.7315307
20,0.00031233623,0.0,-5.248805
21,0.00028443232,0.0,-7.0525737
22,0.00027259925,0.0,-7.822627
23,0.00032389702,0.0,-4.87956
24,0.00040985993,0.0014189665,-1.034445
25,0.00042196357,0.00011483146,-0.63015133
26,0.00034365576,0.0,-3.9723012
27,0.00031573954,0.0,-5.502506
28,0.00030717606,0.0,-6.0477104
29,0.0003239061,0.0,-5.3117466
30,0.00034336888,0.0,-4.438149
31,0.0005371204,0.0,-4.472058
32,0.00053135253,0.0,-4.663249
33,0.00074871426,0.0076828487,0.6860018
34,0.00070975523,0.010347943,-0.20886837
35,0.00063934125,0.0063569252,-1.8227454
36,0.00081157667,0.0077465647,1.6952245
37,0.0009713401,0.00033795324,4.279808
38,0.0009054573,0.0,3.162484
39,0.00094911526,0.0004150615,3.8293781
40,0.0007703938,0.0036154813,0.5983987
41,0.00062336196,0.0,-2.635419
42,0.0004829331,0.0,-6.6528683
43,0.00045246424,0.0,-7.769874
44,0.00050739245,0.0,-6.0079207
45,0.0005430649,0.0,-5.008398
46,0.00057951786,0.0,-4.089202
47,0.00057117234,0.0,-4.3617706
48,0.00055302354,0.0,-4.895417
49,0.0005321728,0.0,-5.5653243
50,0.0005471168,0.0,-5.1906343
51,0.00056876993,0.0,-4.648814
52,0.0005925951,0.0,-4.1210175
53,0.00064439623,0.0,-2.877658
54,0.0007057565,0.0,-1.5731872
55,0.0007376929,0.0,-0.98395216
56,0.0007380938,0.0,-1.0949993
57,0.00078854925,0.0011944829,-0.12937327
58,0.0008261801,0.0072140805,0.5635621
59,0.0007383833,0.0033217587,0.19071732
60,0.00086976355,0.007935877,2.4949245
61,0.0008546375,0.01735568,2.1972256
62,0.0007674888,0.0029952584,0.6074702
63,0.00079114723,0.0,0.9107395
64,0.0009567229,0.00071444653,3.6768754
65,0.0010672286,0.0,5.4880934
66,0.0010471327,0.0054620556,4.954293
67,0.0011663402,0.00078973884,6.8203797
68,0.0012653653,0.0007227559,8.198499
69,0.0013806906,0.011530051,9.567984
70,0.0011514149,0.02662324,6.4593263
71,0.0010090157,0.0041719377,4.147236
72,0.0009762143,0.00036206405,3.5819948
73,0.0009461605,0.0042634183,2.9467552
74,0.0008874785,0.0040910705,1.9519752
75,0.00077220163,0.009947942,-0.097725205
76,0.00072713784,0.001049546,-1.1242868
77,0.0008565914,0.0,1.1869942
78,0.0010718164,0.0,4.654202
79,0.0011736995,0.0,6.044875
80,0.0011820716,0.0021044316,6.0057006
81,0.0013255156,0.009614714,7.793408
82,0.0014070891,0.0031381112,8.742195
83,0.0016373709,0.00017236281,11.193331
84,0.0012798259,0.0048996103,7.149022
85,0.001266139,0.0,6.9015036
86,0.0015014943,0.0019153912,9.480265
87,0.0014013266,0.011486373,8.318244
88,0.0013999896,0.010289672,8.244984
89,0.0013857047,0.009050336,7.9443755
90,0.0019597712,0.0010357834,7.444757
91,0.0020691063,0.0,8.255066
92,0.0023392085,0.0,10.270459
93,0.0021456536,0.0014948653,8.791713
94,0.0017770409,0.0013215267,5.708201
95,0.0019862854,0.0017507913,7.3979635
96,0.002346355,0.0,10.049716
97,0.0023484132,0.0031287582,10.041464
98,0.0021530222,0.0039147427,8.513228
99,0.0024654556,3.5827383e-05,10.715207
100,0.0027780659,0.000535487,12.584182
101,0.002683665,0.0006163094,11.902972
102,0.002782574,0.00011564297,12.503193
103,0.0027070902,0.00024442287,12.027607
104,0.0027173392,0.0002601495,11.992078
105,0.0022203275,0.0,8.657532
106,0.0016171671,9.644265e-05,3.4288158
107,0.0013661166,0.0,0.6843861
108,0.001467833,0.0016196457,1.6779774
109,0.0015598993,0.0026585762,2.5353382
110,0.0017335163,0.0,4.201765
111,0.001778632,0.0,4.6602
112,0.0017993384,0.0,4.832854
113,0.0020026248,0.00053576654,6.4361224
114,0.002224436,0.0017699591,7.9923706
115,0.001801849,0.014525858,4.503208
116,0.0015518554,0.002023176,2.0923274
117,0.0015835576,0.0011761005,2.3723485
118,0.0017598165,0.00029167868,3.983977
119,0.0021687197,0.0013209562,7.374542
120,0.0015439866,0.005731234,5.802923
121,0.0013557537,0.004854379,3.6182082
122,0.0013659254,0.0023358662,3.6130314
123,0.0012468245,0.009299539,2.00224
124,0.0013103848,0.0036439884,2.7669992
125,0.0016123307,0.0,6.159176
126,0.002290215,0.0,11.785797
127,0.0021258115,0.0009786006,10.550666
128,0.0023110106,0.002787289,11.837773
129,0.0021256972,0.016098777,10.344362
130,0.0019292259,0.009057218,8.725959
131,0.001970541,0.0026060895,9.092979
132,0.001962269,0.0029933164,9.015363
133,0.0019890387,0.0055415863,9.172713
134,0.00198072,0.008501488,9.025848
135,0.0019722448,0.00719038,8.964689
136,0.0018292465,0.0040356307,7.6950164
137,0.0024475993,0.0,12.400288
138,0.0028151497,0.0,14.732525
139,0.003166179,0.0,16.711908
140,0.0031060844,0.010130831,16.348383
141,0.0020995706,0.008120337,9.770389
142,0.002512916,0.0010170349,12.777092
143,0.0021131202,0.011014136,9.8285475
144,0.0020533334,0.01666312,9.308404
145,0.0020180915,0.022650251,8.994955
146,0.0017701035,0.0043526646,6.760184
147,0.002255765,0.0059531736,10.750517
148,0.0025364342,0.0013238085,12.697777
149,0.0026561082,0.005531343,13.346201
150,0.0032809514,0.00018712394,16.914877
151,0.0032988912,0.0016604137,16.64333
152,0.0035114374,0.003210335,17.660038
153,0.003041611,0.0088638235,15.260068
154,0.0020705631,0.0061525665,8.778226
155,0.0027319484,0.0,13.352274
156,0.0029781237,0.001461097,14.760024
157,0.0032505447,0.0,16.239676
158,0.0033672343,0.00649259,16.72138
159,0.0032955648,0.013203703,16.475998
160,0.0027973007,0.00045726693,13.719499
161,0.0036627545,0.0,18.254139
162,0.0034559306,0.00025574758,17.281258
163,0.0029213584,0.0,14.429561
164,0.003683724,0.0,18.341059
165,0.0039301915,0.0,19.465246
166,0.0028184587,0.0009566569,13.825486
167,0.0021626202,0.0019158927,9.360237
168,0.0019425217,0.0031406211,7.548942
169,0.0020379263,0.00032653345,8.334623
170,0.002301521,0.0026107896,10.336283
171,0.00199108,0.008147859,7.9267287
172,0.0021252565,0.0017315232,8.919929
173,0.0025817624,0.00023944909,12.236487
174,0.0025831035,0.004895068,12.211848
175,0.002689685,0.007607034,12.843936
176,0.0027445504,0.005994033,13.230605
177,0.0031036274,0.0014072852,15.2980585
178,0.0029455866,0.016340159,14.43084
179,0.0022075383,0.0011999812,9.722497
180,0.0022412683,0.0,9.970661
181,0.0027630099,0.0,14.620162
182,0.0032707516,0.0033128962,17.390905
183,0.0022881392,0.016042331,11.415805
184,0.0024015873,0.0,12.247593
185,0.00277117,0.0,14.627387
186,0.0028774636,0.0017804741,15.293943
187,0.0029948116,0.0,16.029652
188,0.003332364,0.005648703,17.761753
189,0.0031815525,0.009075302,16.92726
190,0.003024803,0.010563048,16.17333
191,0.0027861958,0.013304983,14.8569
192,0.0027513101,0.0016010961,14.746366
193,0.0026676538,0.0064707194,14.253481
194,0.0027111317,0.0,14.504751
195,0.0027718754,0.0,14.982708
196,0.0027659896,0.0016036908,14.909882
197,0.002455722,0.037402127,12.998628
198,0.0019799427,0.02263177,9.388135
199,0.0018160928,0.00809154,7.9267716
200,0.002233544,0.01549144,11.398973
201,0.0025403083,0.004878036,13.616446
202,0.0028934737,0.009636737,15.835971
203,0.0024435103,0.029752865,13.03029
204,0.002173281,0.013403891,11.1244
205,0.0019078008,0.006306242,9.026582
206,0.0019970422,0.0017029044,9.812299
207,0.0021892323,0.006433523,11.3625145
208,0.002301438,0.0,12.276345
209,0.0029679064,0.0,16.645084
210,0.003373334,0.0,18.91057
211,0.0039254576,0.0,21.536682
212,0.0036352172,0.00018220562,19.584185
213,0.003608343,0.0019617726,19.536463
214,0.0036911992,0.0,19.995987
215,0.0036590442,0.0018436788,19.868805
216,0.0036456538,0.0023870186,19.718746
217,0.0033167545,0.008494844,18.1207
218,0.0030758602,0.013033621,16.965115
219,0.0029633853,0.013517477,16.390694
220,0.0027423836,0.011126423,15.194712
221,0.0024447122,0.0070191254,13.250195
222,0.0026306363,0.0033487082,14.539755
223,0.0026386243,0.00046636988,14.660214
224,0.002790058,0.0,15.690269
225,0.0031342166,0.0,17.721685
226,0.0034301968,0.0,19.370804
227,0.002987842,0.0069155637,17.074406
228,0.002191291,0.0,11.901255
229,0.0024581924,0.0,13.869206
230,0.0027692982,0.0,15.952055
231,0.0025275818,0.007614135,14.472638
232,0.0019338941,0.00083737035,10.006005
233,0.0022592526,0.00048551636,12.634003
234,0.0019376256,0.0017128397,10.157555
235,0.0019238595,2.3757546e-05,10.057575
236,0.0020072341,0.0,10.85906
237,0.002287653,0.0,13.1287
238,0.0022850586,9.1710564e-05,13.170356
239,0.0021899296,8.164552e-05,12.522118
240,0.0024455255,0.0,14.49669
241,0.0024742107,0.0,14.788785
242,0.0027573744,0.0,16.643373
243,0.0019276111,0.014040791,14.044562
244,0.0018007131,0.007722537,12.961828
245,0.0016391114,0.003719354,11.455223
246,0.0015994213,0.00096560054,11.109006
247,0.0018271832,0.0002425052,13.4051895
248,0.0019317862,0.0,14.447622
249,0.0021813759,0.0,16.552282
250,0.0023193194,0.0,17.69189
251,0.001851542,0.010177341,13.949211
252,0.0017985062,0.011360023,13.438368
253,0.001871248,0.0036659956,14.208337
254,0.0018388015,0.021905266,14.02106
255,0.0014671959,0.011871678,10.288521
256,0.0013441838,0.0014103664,8.898093
257,0.001472472,0.010371067,10.473844
258,0.0016504285,0.0026112003,12.477282
259,0.0015870889,0.0,11.952819
260,0.0019127754,0.014742718,15.112831
261,0.0016911518,0.00972667,13.073948
262,0.002012756,0.00016095082,16.111135
263,0.001955796,0.0,15.723945
264,0.0018703773,0.016883364,15.014264
265,0.0013943294,0.007936422,10.221514
266,0.0015103726,0.006130155,11.612458
267,0.0015653168,9.247876e-05,12.263466
268,0.0016800391,0.022625579,13.477536
269,0.0012358363,0.012615183,8.502239
270,0.0011878838,0.026739161,7.886134
271,0.0010773871,0.0030915202,6.351426
272,0.0011664106,0.0,7.8002896
273,0.0013283982,0.000116231015,11.520836
274,0.00113735,0.009790288,9.027388
275,0.0012184287,0.01195488,10.24042
276,0.0013377788,0.0035645496,11.867672
277,0.0014448168,0.0020604758,13.2599125
278,0.0015903139,0.0016053675,14.988169
279,0.0012028316,0.00016532019,10.310384
280,0.001207499,0.0,10.451272
281,0.0013520621,0.005838208,12.488751
282,0.0012041936,0.027870197,10.598491
283,0.000872967,0.004404965,5.2972145
284,0.0008869542,0.01717301,5.6247053
285,0.00075186463,0.00026248812,2.9658294
286,0.00092532986,0.029357186,6.46998
287,0.0011442184,0.008765998,10.153587
288,0.0010016634,0.0,7.974308
289,0.0012838014,0.0,12.24479
290,0.0011871174,0.00666331,11.01384
291,0.0010229985,0.0,8.585885
292,0.0010575162,0.007518827,9.209826
293,0.00075109216,0.009705621,3.585148
294,0.00066038856,0.0035532136,1.5889212
295,0.00062314875,0.0043819556,0.7716139
296,0.00059375307,0.0,0.06548682
297,0.0006914336,0.006557163,2.5288963
298,0.0006485449,0.016538,1.6139408
299,0.00060754834,0.0045570787,0.68799084
300,0.0006014232,0.0003525774,0.5516094
301,0.000733549,0.0044700415,3.7374034
302,0.00081532716,0.018770987,5.6108856
303,0.00095252955,0.003343739,8.32799
304,0.0010817794,0.0,10.135083
305,0.0009933776,0.0,8.779242
306,0.0009325866,0.0,7.813967
307,0.0010130311,0.0,9.277617
308,0.0008933448,0.00040220417,7.1890655
309,0.00063130236,0.0019337566,1.6759554
310,0.00052322965,0.00041083642,-1.1130284
311,0.0004798319,0.0,-2.3422136
312,0.0004540178,0.0,-3.1166565
313,0.00045020125,0.0,-3.230015
314,0.0005845906,0.00068261975,0.7646251
315,0.00065620884,0.0011049848,2.6057122
316,0.000668189,0.0025421677,2.9447656
317,0.00056302175,0.0039107073,0.4007993
318,0.00043812708,0.0,-3.5494843
319,0.00042768117,0.0,-4.053638
320,0.00064757175,0.00014869515,2.6579967
321,0.0006902292,0.0,3.7597392
322,0.0007600944,0.0009963447,5.477389
323,0.00075566134,0.0,5.416172
324,0.00075943733,0.0,5.586857
325,0.00075239467,0.0,5.4341707
326,0.0007691376,0.0013935954,5.9040008
327,0.0006381399,0.0012391666,2.8071618
328,0.00046879504,3.6757192e-05,-1.7872852
329,0.0004978597,0.0,-0.8385099
330,0.00065952935,0.019102052,3.5661967
331,0.0004944827,0.0145791145,-0.8580507
332,0.00050339714,0.013612948,-0.50277805
333,0.0005495907,0.036753226,0.8793552
334,0.0004937248,0.005943598,-1.3437378
335,0.0004959212,0.0014809006,-1.278443
336,0.00042819238,0.0011273159,-3.5584593
337,0.00051796006,0.010227489,-0.55250055
338,0.00042638052,0.0010754528,-3.5952828
339,0.00046970617,0.006535802,-2.041845
340,0.0005762339,0.011819857,1.1656071
341,0.00058551837,0.016729161,1.4672668
342,0.00052824535,0.00499841,-0.21300048
343,0.0005648046,0.006951866,0.85113144
344,0.00068869675,0.021292638,4.0028763
345,0.00047934498,0.0011440117,-1.660393
346,0.00042802037,0.013484803,-3.423088
347,0.00054733315,0.013864614,0.5172595
348,0.00059131836,0.033052202,1.6902138
349,0.0005917434,0.012172581,1.718025
350,0.0005342573,0.009557995,0.16065033
351,0.0005248228,0.02317912,-0.11742109
352,0.00030339469,0.00022392222,-9.010224
353,0.000309873,0.0003191433,-8.716704
354,0.000428139,0.0057684747,-3.2296758
355,0.00045677045,0.0009994485,-2.2131467
356,0.0004904234,0.0041478393,-1.1114798
357,0.00050821813,0.0083666,-0.53038484
358,0.00042293427,0.0020696481,-3.4429533
359,0.00032757796,0.0,-7.5999007
360,0.000359214,0.0003091715,-6.239785
361,0.00046294124,0.004078089,-2.1195045
362,0.00054469006,0.002027726,0.38791314
363,0.0006723652,0.016987767,3.656028
364,0.0007412345,0.002255594,5.1020103
365,0.000540069,0.0048135677,2.0440907
366,0.0004770722,0.0,0.3453665
367,0.00049056177,0.0,0.717387
368,0.00049604324,0.0048915124,1.0594023
369,0.0005465885,0.021854477,2.529871
370,0.0004229075,0.011461689,-2.0453534
371,0.0002791547,0.0068040905,-8.542081
372,0.00038341084,0.02470603,-3.329737
373,0.00045842936,0.022095233,-0.6044964
374,0.00050717517,0.010155378,0.8035912
375,0.000501613,0.003314495,0.71659356
376,0.00047022547,0.0,-0.69695497
377,0.00040753867,0.0,-2.8030486
378,0.00039986265,0.0,-3.3225029
379,0.0004001397,0.0,-3.1376884
380,0.00040829345,0.0,-2.8239338
381,0.0003809668,0.0,-3.8072855
382,0.0003906795,0.0,-3.4494026
383,0.0003820304,0.0,-3.8614254
384,0.00047877422,0.0003696978,-0.38502514
385,0.0005097529,0.0019186753,0.51228637
386,0.00049935025,0.00030883064,0.07067938
387,0.0004703652,0.00025526268,-0.88662016
388,0.0004230927,0.0006936222,-2.512637
389,0.00037703034,0.0,-4.207742
390,0.00043677847,0.008515093,-1.9661281
391,0.00046069833,0.00413591,-1.32873
392,0.00042866147,0.0010063002,-2.5517235
393,0.00049155124,0.02584882,-0.41972533
394,0.0005753981,0.0028965897,1.7975601
395,0.00053736375,0.0024083478,0.64330804
396,0.0005368585,0.0,-2.3530674
397,0.00046352728,0.0,-4.655617
398,0.00043392304,0.0,-5.728745
399,0.00049372745,0.0,-3.7891636
400,0.00053554313,0.0,-2.6047764
401,0.0006434686,8.1094564e-05,0.12664156
402,0.0007308671,0.0,1.9784193
403,0.00073978375,0.0022072333,2.097409
404,0.00069317775,0.0,0.986529
405,0.0007277968,0.0,1.6712149
406,0.00073546043,0.0,1.8031199
407,0.0007235101,0.0,1.4676434
408,0.0007432918,0.00178651,1.834728
409,0.00072851917,0.0051395176,1.441795
410,0.00073735457,0.00011548204,1.5372411
411,0.0007509207,0.0,1.699063
412,0.00073406025,0.0,1.2934572
413,0.00077926967,0.0,2.14558
414,0.00072012143,0.0067814086,0.8896421
415,0.0006890097,0.0019133171,0.15200968
416,0.00057538965,0.0,-2.5295587
417,0.0005207777,0.00022690385,-4.0794067
418,0.00053224753,0.008326082,-3.8095622
419,0.0005055217,0.0009812753,-4.6463914
420,0.00048526542,0.0,-5.3330655
421,0.00048671887,0.0,-5.351619
422,0.000563227,0.0,-3.2166395
423,0.00082223973,0.0017376568,2.3625922
424,0.0012663101,0.0071776314,4.245849
425,0.0010011692,0.0049255746,0.5523855
426,0.0012656477,0.0051792767,4.0082026
427,0.0011157246,0.012765894,2.0728726
428,0.00090120104,0.0,-1.1407505
429,0.00079235696,0.0,-3.0702534
430,0.0009142331,0.0,-1.0166597
431,0.0010781782,0.0,1.2812176
432,0.0010923238,0.0,1.3946466
433,0.0012531063,0.019756187,3.3775246
434,0.0009749018,0.003341621,-0.42405656
435,0.0011138888,0.008699013,1.4567884
436,0.0009140034,0.0065068672,-1.4205294
437,0.00091465935,0.0,-1.5430621
438,0.0010998716,0.0,1.0831616
439,0.0011686815,0.008582316,1.8998328
440,0.0011422455,0.010700046,1.5805324
441,0.0010891176,0.004645427,0.8105739
442,0.001141985,0.0028462582,1.3954191
443,0.0011476908,0.008882232,1.4121107
444,0.0012433626,0.0,2.551968
445,0.001148416,3.0280085e-05,1.3363018
446,0.0010835886,0.0,0.44673684
447,0.0011903355,0.0,1.7175258
448,0.0013142512,0.0,3.1433103
449,0.0014778719,0.0,4.944859
450,0.0016989516,0.0,7.154528
451,0.0015844116,0.00084115233,5.908463
452,0.0015676096,0.0068455697,5.7123313
453,0.0015136949,0.0033468616,5.0910544
454,0.0015007372,0.0019422477,4.8950095
455,0.001986298,0.0,5.7505364
456,0.0022210144,0.002129411,7.494391
457,0.0019483563,0.0,5.3081665
458,0.002279416,0.0,7.7878804
459,0.0024916683,0.0,9.127337
460,0.0025408522,0.0,9.362288
461,0.002352075,0.00074650114,8.089285
462,0.0021295757,0.014769552,6.4402866
463,0.0016393429,0.0,2.1686866
464,0.0017709342,0.0010163616,3.3007185
465,0.0018089053,7.694549e-05,3.5918531
466,0.00159978,0.0,1.645492
467,0.0015003547,0.0,0.6633591
468,0.0016424257,0.000849436,1.9133319
469,0.0018806071,0.0,3.9448018
470,0.0022527492,0.0016846688,6.7762322
471,0.002139333,0.0,5.898065
472,0.002052728,0.0,5.169024
473,0.0020325647,0.0,4.931247
474,0.0021420766,0.0,5.6951647
475,0.0022346033,0.0,6.2831903
476,0.0021530148,0.0,5.684925
477,0.0022334165,0.006835246,6.174885
478,0.0018967629,0.010650136,3.5445316
479,0.0020446004,0.0,4.6947007
480,0.002057161,0.0012716717,4.7099514
481,0.0019343811,0.0,3.6690094
482,0.002145171,0.0,5.269059
483,0.0020401734,0.011335893,4.4400826
484,0.0017970267,0.0,2.3662527
485,0.0018004571,0.0025207077,4.413374
486,0.0018463476,0.0,4.7799735
487,0.0022956342,0.0,8.164543
488,0.0020963273,0.0072130277,6.6493235
489,0.0018120144,0.0064210794,4.3220525
490,0.0019242368,0.0049747317,5.271896
491,0.0017924309,5.280401e-05,4.02112
492,0.0020555516,0.0034112867,6.0971174
493,0.002037511,0.0031535684,5.992257
494,0.00216065,0.0,6.923461
495,0.0021556958,0.0,6.8038917
496,0.0025734485,0.0,9.657041
497,0.0026395847,0.0,10.018054
498,0.0028106272,0.0,10.975243
499,0.0032560688,5.4706517e-05,13.383124
500,0.003104059,0.0026434753,12.479302
501,0.003097696,0.0047171135,12.433095
502,0.0033803598,0.00645655,13.942055
503,0.0033462562,0.0028906574,13.770886
504,0.0033704918,0.0077475263,13.849368
505,0.003327404,0.0011942888,13.582208
506,0.003517269,0.0012185081,14.500843
507,0.0030032569,0.017604725,11.827318
508,0.0025758413,0.000977912,9.224018
509,0.0032084237,0.0,12.840378
510,0.004132649,0.0,17.02128
511,0.0038272382,0.0022078427,15.74397
512,0.0033083104,0.0063855983,13.2875395
513,0.0031831535,0.00068101526,12.59393
514,0.003594413,0.004531117,14.529923
515,0.0040560677,0.0015755749,16.56458
516,0.0033168765,0.0,17.151136
517,0.0034609288,7.34165e-05,17.86051
518,0.0036075849,0.0,18.562937
519,0.0037649705,0.00016845307,19.245703
520,0.003156139,0.003260388,16.29117
521,0.0030822658,0.0044725644,15.826472
522,0.00308413,0.003462173,15.799683
523,0.0032895326,0.0,16.888288
524,0.0033674864,0.0,17.281994
525,0.0034863031,0.0013792594,17.871899
