,et,p,t
0,0.0003059528,0.00012729339,2.9687302
1,0.0003839857,0.012653497,6.8023424
2,0.0003847087,0.018715529,6.901453
3,0.00029205417,0.0031306883,2.1131644
4,0.0002730219,0.005116149,1.004422
5,0.00026426872,0.0014436365,0.48054054
6,0.00023417642,0.0,-1.4777558
7,0.00026890493,0.0018320222,0.46998423
8,0.00031749613,0.012057489,3.2230027
9,0.00027891257,0.0025099337,1.142833
10,0.00021407282,0.0,-2.9532201
11,0.0002528595,0.007945982,-0.5121353
12,0.00021519192,0.0,-3.0870035
13,0.0003245436,0.017458236,3.3292983
14,0.00025897974,0.001962931,-0.28584188
15,0.00031244688,0.008638233,2.6423974
16,0.00033765007,0.005316468,3.9042158
17,0.00029994315,0.006230885,1.8546971
18,0.0003108048,0.0041572466,2.3501306
19,0.00025428733,0.000128216,-0.83689505
20,0.00024887949,0.007608451,-1.276756
21,0.000267308,0.0,-0.54491127
22,0.00025418648,0.0,-1.5204053
23,0.0003078993,0.0,1.6847892
24,0.00033489987,0.0007920372,3.1969156
25,0.0003356647,0.0016092458,3.074973
26,0.00034915164,0.00042946657,3.6479795
27,0.0003234231,0.0,2.138086
28,0.00025096364,0.0,-1.6753268
29,0.00027999424,0.0,-0.10708379
30,0.00028154952,0.0,-0.043529496
31,0.0005027344,0.0,-0.42040938
32,0.00056547864,0.0,1.3608018
33,0.0007003578,0.017076103,4.8729143
34,0.00056576147,0.0027608322,1.1998576
35,0.0006389302,0.003528922,3.160634
36,0.00077963906,0.006510817,6.4222946
37,0.0008411016,0.0021343147,7.6186976
38,0.0007799272,0.00040565335,6.253072
39,0.0007537843,0.0023289018,5.589842
40,0.00058577076,0.0022654226,1.2826185
41,0.00049184245,0.0,-1.4285438
42,0.00047769028,0.0,-1.9313098
43,0.00045882966,0.0,-2.6028326
44,0.00045274122,0.0,-2.8801596
45,0.00049259816,0.0,-1.6976922
46,0.0004964031,0.0,-1.6636124
47,0.0005317556,0.0,-0.7197369
48,0.0005126895,0.0019119824,-1.3258326
49,0.00048154683,0.0,-2.3256745
50,0.00049409637,0.0,-2.025387
51,0.00046802397,0.0,-2.904812
52,0.0005159571,0.0,-1.5484196
53,0.0005171005,0.0,-1.5825328
54,0.0005441725,0.0,-0.90998346
55,0.0005988805,0.0,0.42814854
56,0.00060588587,0.0,0.52493644
57,0.000703665,0.0065178927,2.8687475
58,0.000733545,0.006513703,3.4752843
59,0.0008912081,0.002256055,5.1879306
