,et,p,t
0,0.00024436964,0.00080130226,2.4592402
1,0.00029762613,0.008373578,5.822265
2,0.0003199528,0.016551813,6.9605527
3,0.00024077077,0.002782869,2.0929115
4,0.0002225648,0.003141895,0.8734595
5,0.00021495759,0.0024788051,0.32033244
6,0.00017468249,0.00062004226,-2.8451583
7,0.00017672166,0.00012448974,-2.687765
8,0.00022971533,0.0067563374,1.2886003
9,0.00023120549,0.0044008987,1.2499712
10,0.0001798681,0.0,-2.774502
11,0.00019661516,0.005614907,-1.2768539
12,0.00016933696,0.0,-3.6491988
13,0.00024147757,0.01477352,1.8061336
14,0.00020628507,0.0017600853,-0.6902187
15,0.00025239654,0.006514965,2.3186111
16,0.00027655717,0.0038922383,3.789935
17,0.0002460782,0.0046767793,1.7796098
18,0.00025385703,0.003601683,2.2202327
19,0.00019495764,0.0002462917,-1.8550828
20,0.00017201276,0.00158196,-3.723572
21,0.00015743755,0.0,-5.136626
22,0.00015035018,0.0,-5.9533224
23,0.0002140712,0.0,-0.58645064
24,0.0002705433,0.0015948003,2.8962235
25,0.0002469208,0.00010365869,1.4253577
26,0.0002509795,0.00042708032,1.6635352
27,0.00020789818,0.0,-1.2677413
28,0.00017835508,0.0,-3.6497438
29,0.00019701103,0.0,-2.1941452
30,0.00020442448,0.0,-1.7099227
31,0.00042952938,0.0,-2.4849665
32,0.00047932647,0.0,-0.9374505
33,0.0006565293,0.012723356,4.0420413
34,0.0005563922,0.002082963,1.1686693
35,0.00059076765,0.0033005895,2.107217
36,0.0007107324,0.0066056424,5.127737
37,0.00078551326,0.0018796119,6.7148485
38,0.00072376727,0.0001854677,5.249716
39,0.0007358057,0.0016045183,5.4523563
40,0.0005779562,0.0019114577,1.3163439
41,0.00047901348,0.0,-1.5459732
42,0.00045753838,0.0,-2.3026648
43,0.00044233157,0.0,-2.8780046
44,0.00044431305,0.0,-2.8835769
45,0.0004745087,0.0,-1.974562
46,0.0004884169,0.0,-1.6143875
47,0.00049513107,0.0,-1.4809726
48,0.00049131305,0.0016169536,-1.6695796
49,0.00046247008,0.0,-2.6347854
50,0.0004858677,0.0,-1.9830419
51,0.00045990714,4.7032376e-05,-2.8668513
52,0.00048369117,0.0,-2.165417
53,0.0004949548,0.0,-1.9056412
54,0.00054701813,0.0,-0.53217703
55,0.0006161158,0.0,1.1287646
56,0.00057317544,0.0,0.026078988
57,0.00066274457,0.0029723055,2.198245
58,0.00068850245,0.00647677,2.7413661
59,0.0008994859,0.001941964,4.099752
60,0.00096563925,0.005076204,5.140779
61,0.000886223,0.0036341846,3.6317098
62,0.00072700443,0.00018627246,0.31752923
63,0.00080946024,0.00012881457,1.9600159
64,0.0011327526,0.0014172774,7.4423394
65,0.0012984924,0.00010843067,9.669732
66,0.0013727583,0.0040380303,10.521699
67,0.0014725389,0.013255342,11.607179
68,0.0016259748,0.0031974362,13.187181
69,0.0016798677,0.004953192,13.602892
70,0.0013438924,0.009246832,9.79642
71,0.0011793689,0.008471222,7.554941
72,0.0010925918,0.0017761891,6.2035356
73,0.0010286877,0.0039223526,5.130466
74,0.00091184076,0.0047785174,3.0470254
75,0.0007910035,0.002632331,0.6917257
76,0.0009469316,0.00092767406,3.547809
77,0.0011112385,0.0,6.1020217
78,0.001282423,0.0,8.396217
79,0.0015596293,0.0,11.561805
80,0.0013503917,0.0023112975,9.021714
81,0.0015314252,0.008339497,11.049395
82,0.0016701572,0.0043217414,12.439939
83,0.0019806568,0.0008120768,15.245845
84,0.001376945,0.0033017332,9.016946
85,0.0014380631,0.0,9.703242
86,0.0017302935,0.00031022535,12.713268
87,0.001661358,0.00022871929,11.964419
88,0.0014971611,0.004104479,10.127683
89,0.0017390773,0.0029979637,12.598115
90,0.002381861,0.00082083815,11.816627
91,0.002757758,0.0001396367,14.225386
92,0.002631923,0.00022340403,13.351647
93,0.0020173667,0.00057862577,8.773052
94,0.0018003522,0.0,6.87549
95,0.0020770621,0.0,9.162969
96,0.0025678095,0.000950627,12.629597
97,0.0022929695,0.005605471,10.650672
98,0.002414514,0.00029879605,11.452216
99,0.0027353675,0.0,13.48247
100,0.0030732702,0.00020352357,15.384806
101,0.0028858266,0.0027534314,14.230545
102,0.0027671277,0.0036347352,13.446703
103,0.0026615572,0.0,12.703262
104,0.002612818,8.3487736e-05,12.320303
105,0.0021462555,0.0,8.975941
106,0.0016291882,0.0,4.4099636
107,0.0015083916,9.433104e-05,3.1007473
108,0.0016518869,0.0035749485,4.5061526
109,0.0017817994,0.0,5.6625185
110,0.0017941577,0.0,5.7133503
111,0.0017119197,0.0,4.8863816
112,0.0016075902,0.0,3.8074164
113,0.001955146,0.0,6.9201374
114,0.0022264759,0.0029864595,8.989373
115,0.0018450592,0.0073772254,5.8454814
116,0.0018163614,0.009002596,5.548454
117,0.001815511,0.0019803988,5.4808736
118,0.002087454,0.0027843046,7.697253
119,0.0023452176,0.007773827,9.550204
120,0.0017081561,0.002311833,6.518219
121,0.0016150244,0.00011536091,5.5476336
122,0.0016618384,0.0028185705,5.955668
123,0.0017317611,0.003893122,6.564972
124,0.0018048913,0.0013408804,7.1879597
125,0.002114793,0.00047808097,9.720927
126,0.002928383,0.0,15.128659
127,0.002801354,0.0,14.316763
128,0.0029858053,0.00028877592,15.345959
129,0.0029355257,0.006368551,14.954593
130,0.0026827143,0.0048877588,13.394392
131,0.0026925697,0.0005496248,13.415555
132,0.002556329,0.0,12.500709
133,0.0027236366,0.0010716055,13.5162115
134,0.00261977,0.0009560959,12.817811
135,0.002411647,0.0032490774,11.388639
136,0.002425676,0.0,11.44164
137,0.0030625924,0.0,15.32532
138,0.0036276646,0.0,18.17644
139,0.004038897,0.0,20.002174
140,0.0037354978,0.0032192313,18.588346
141,0.0026645423,0.00017832915,12.797222
142,0.002786276,0.006280526,13.507201
143,0.0025877012,0.0023110316,12.2273655
144,0.0024369762,0.0034406334,11.1844845
145,0.00259117,0.0032694726,12.168391
146,0.0024006928,0.0043774555,10.863416
147,0.0026443908,0.0068451855,12.446231
148,0.0030398401,0.0035371545,14.755836
149,0.003506499,0.0003467447,17.15563
150,0.004177386,0.0003915643,20.158983
151,0.0037181522,0.0024833977,19.40866
152,0.00386529,0.006142393,20.055744
153,0.0031164181,0.015346184,16.30786
154,0.00241181,0.005280122,11.974362
155,0.0030704557,0.0,16.010313
156,0.0031721075,0.0,16.537472
157,0.0033294202,0.0032130575,17.319904
158,0.0038374849,0.0009831439,19.776644
159,0.003170756,0.012163684,16.45792
160,0.0026836847,0.0,13.622629
161,0.0036202737,0.0,18.708063
162,0.0030320329,0.0,15.581768
163,0.0030652657,0.0,15.8261175
164,0.0038464894,0.0,19.729216
165,0.0038688018,0.0,19.804235
166,0.0025183342,0.0,12.462068
167,0.002408757,0.0050062924,11.741431
168,0.0023093713,7.1408045e-05,11.035527
169,0.0023687454,0.0011845052,11.45721
170,0.0023974257,0.0066756913,11.640123
171,0.0023964723,0.0012819387,11.643981
172,0.0026452777,0.0013504147,13.291758
173,0.0030220598,9.9497185e-05,15.539175
174,0.0029397658,0.0047203554,15.0747385
175,0.002996266,0.013732182,15.399964
176,0.0030071707,0.0074723153,15.470322
177,0.0030209834,0.012970466,15.547082
178,0.0027831101,0.016820913,14.148447
179,0.0022574754,0.008850901,10.691289
180,0.002520343,0.0011178046,12.535967
181,0.0028555023,6.083626e-05,14.889011
