,et,p,t
0,0.00025291898,0.0023649563,1.6260306
1,0.00030104446,0.008901367,4.5935955
2,0.00033699826,0.013729173,5.860163
3,0.0002589068,0.0077465987,1.5522922
4,0.00022697537,0.003109953,-0.2478097
5,0.00021889135,0.0048406823,-1.0099703
6,0.00017409818,0.00080398435,-4.556288
7,0.00015576882,9.032771e-05,-6.2534065
8,0.00019636148,0.003785262,-2.1217513
9,0.0002143257,0.0027256957,-0.92599666
10,0.00018533334,0.0,-3.7016716
11,0.00019723426,0.0034999314,-2.4817681
12,0.00018481807,0.000759976,-3.92866
13,0.00023627825,0.012338927,0.20958476
14,0.00022706408,0.0031399515,-0.7820151
15,0.00024887704,0.0057955803,0.70442224
16,0.00028675882,0.00486698,2.8693476
17,0.00025918655,0.0046334425,0.8243415
18,0.00026989213,0.006447844,1.6809514
19,0.00021218078,0.0019048449,-2.670881
20,0.00017614577,0.000606376,-5.489544
21,0.00016310702,0.0,-6.876268
22,0.00016337214,0.0,-6.524583
23,0.00021398359,0.00017367236,-1.7393687
24,0.00026894506,0.0019589388,1.5902374
25,0.00024545085,0.0002425076,-0.83625543
26,0.00022698482,0.00025073072,-1.5485003
27,0.00020436951,0.0,-2.9507957
28,0.00018308635,0.0,-5.0717816
29,0.00019890843,0.0,-3.6363754
30,0.00020923388,0.0,-2.9135232
31,0.00045620426,0.0,-2.8472247
32,0.00049773074,0.0,-1.5182496
33,0.0006726722,0.008386612,3.1404898
34,0.00059561,0.0037056669,0.9964978
35,0.0005796916,0.003496807,0.60309994
36,0.00071712513,0.0058430787,3.9337685
37,0.000819135,0.0012242438,5.9629593
38,0.0007666341,0.00043632946,4.809474
39,0.0007738058,0.00076594495,4.8040743
40,0.00063206756,0.0022371602,1.4332275
41,0.0005096651,7.715092e-05,-1.8596869
42,0.00045437715,0.0,-3.5694911
43,0.0004365928,0.0,-4.241346
44,0.00045629544,0.0,-3.6574693
45,0.0004896816,0.0,-2.6552258
46,0.0005008731,0.0,-2.4114864
47,0.00050266145,4.99439e-05,-2.424695
48,0.0004928504,0.0009769447,-2.7815604
49,0.00046154376,2.3569624e-05,-3.869016
50,0.00048783113,9.8298115e-06,-3.0889776
51,0.00048061385,1.5970809e-05,-3.4239278
52,0.00048361486,0.0,-3.445187
53,0.0005247277,0.00016193898,-2.3002381
54,0.0005877446,7.8779136e-05,-0.65504754
55,0.00063571136,0.0,0.44466066
56,0.0005694426,0.0,-1.446013
57,0.0006339413,0.00089450617,0.1397305
58,0.000706155,0.0043419655,1.8668553
59,0.000835523,0.002177528,2.4376392
60,0.0009176509,0.0048044035,3.80812
61,0.0008744819,0.0062066475,2.947626
62,0.0007322404,0.0008605329,0.08862119
63,0.0007818003,0.000108579035,1.0005453
64,0.0010604484,0.0011556019,5.829049
65,0.001233493,0.0006740694,8.289259
66,0.0012914777,0.0033941423,8.891279
67,0.0013882435,0.009552768,10.074692
68,0.0014933257,0.0051220935,11.236539
69,0.0015957948,0.0064897602,12.243296
70,0.0013124178,0.011759281,8.90765
71,0.0011586566,0.0048670797,6.7597785
72,0.0010833829,0.0015825151,5.5966806
73,0.0010252143,0.003132406,4.599771
74,0.0009508679,0.0038350397,3.2872338
75,0.0008233356,0.004225315,0.9457013
76,0.0008892488,0.0009929934,2.0787354
77,0.0010690866,0.0,4.9331865
78,0.0012394004,0.0,7.319664
79,0.0014809135,1.9699059e-05,10.117013
80,0.0013698956,0.0015669037,8.7244215
81,0.0014990787,0.007684612,10.180101
82,0.0015960705,0.0035000343,11.161188
83,0.0018650342,0.0002354485,13.703142
84,0.001397042,0.004069152,8.808298
85,0.0013609385,0.0,8.336918
86,0.0016538467,0.00051307265,11.4372225
87,0.0016416082,0.0027708984,11.223285
88,0.0015347458,0.0065049627,10.068772
89,0.0017497363,0.0030625714,12.078321
90,0.0024941214,0.00053799804,11.735912
91,0.0026994802,4.005512e-05,12.976654
92,0.0026240824,0.00020248737,12.545867
93,0.0021026426,0.001010164,8.766344
94,0.0018513815,0.0005033871,6.676219
95,0.0021144706,0.00046949415,8.770679
96,0.002583144,0.0005951053,12.007204
97,0.0023809425,0.0041030245,10.574776
98,0.0023858272,0.0010762515,10.538263
99,0.00262975,8.509003e-06,12.112304
100,0.0029403963,0.00016533883,13.900142
101,0.0030076317,0.001341563,14.166609
102,0.0028338435,0.0016852126,13.103834
103,0.002626532,5.805043e-05,11.764826
104,0.002584641,7.743946e-05,11.42679
105,0.0021155926,0.0,8.068708
106,0.0016252734,2.290513e-05,3.7341256
107,0.0015227844,0.00020440335,2.5962164
108,0.0016349634,0.0024073822,3.6641393
109,0.0017491942,0.00063141185,4.6678224
110,0.0018187839,0.0,5.2610197
111,0.0017467865,6.2890904e-06,4.5687127
112,0.0016826721,5.4134893e-05,3.903052
113,0.0019843462,0.00018814928,6.501813
114,0.002272001,0.0017432759,8.623959
115,0.0021106112,0.010678494,7.238183
116,0.0018194963,0.008065278,4.8447256
117,0.0017947664,0.0018274749,4.6069827
118,0.0020644546,0.0021437258,6.7907953
119,0.0023118858,0.006427706,8.638308
120,0.0016486349,0.003749352,6.1137114
121,0.0015430338,0.0013233364,4.948151
122,0.0016161961,0.0018975238,5.600915
123,0.0016196799,0.005253473,5.47579
124,0.0016773673,0.002396125,6.008682
125,0.0020096097,0.00014879853,8.947581
126,0.0027336907,3.7394388e-05,14.034436
127,0.0027081582,0.000359532,13.772985
128,0.0028592006,0.0008427417,14.6576185
129,0.0029664366,0.006137221,15.036127
130,0.002680443,0.0072102435,13.282387
131,0.002592063,0.005634278,12.769949
132,0.0025018845,0.0019675407,12.178263
133,0.0025961078,0.0031644453,12.722086
134,0.0025594875,0.003785432,12.434969
135,0.002464536,0.0038693198,11.790489
136,0.0022619786,0.0013546229,10.350965
137,0.0028361718,0.00012810063,14.120062
138,0.003416239,0.00025440328,17.214317
139,0.0038556103,0.0,19.259274
140,0.0037607092,0.006423086,18.782248
141,0.0025883783,0.0033249152,12.381402
142,0.0027915456,0.0026597152,13.692988
143,0.0024723154,0.0046226196,11.588523
144,0.002425573,0.007098932,11.215762
145,0.0025115446,0.009294076,11.715375
146,0.0022372233,0.006038585,9.741547
147,0.0025859675,0.0056296038,12.201735
148,0.002919177,0.0034946152,14.20294
149,0.003279483,0.0014748335,16.067669
150,0.0039590546,0.00051244686,19.30104
151,0.0035348055,0.0027859206,18.510649
152,0.0038689643,0.005230342,20.015568
153,0.0031769294,0.012517522,16.600372
154,0.0023968602,0.004725695,11.803
155,0.0029333157,0.0004830957,15.209491
156,0.0030898592,0.0006510224,16.068457
157,0.0032280874,0.0020101483,16.771275
158,0.0036700375,0.0033424012,18.94124
159,0.003272814,0.01426816,16.978617
160,0.002737164,0.0001086009,13.954938
161,0.003627364,5.0910596e-05,18.726374
162,0.0030591907,0.00010663657,15.675308
163,0.0029794513,9.170844e-05,15.358459
164,0.0037725426,0.00013438708,19.373959
165,0.0038777296,0.00023241749,19.818787
166,0.0025953422,0.0005298727,12.965655
167,0.002367008,0.0031326872,11.439507
168,0.0022253557,0.001968804,10.380206
169,0.0022400254,0.0008270369,10.513103
170,0.00233496,0.0052475464,11.203379
171,0.0022847294,0.003989567,10.808622
172,0.002529175,0.0010083683,12.449242
173,0.0029119558,0.00059065985,14.871396
174,0.0028662814,0.00310724,14.609218
175,0.0029943122,0.0071912734,15.323644
176,0.0030517431,0.0046261577,15.663504
177,0.003247872,0.005566892,16.701502
178,0.0031044343,0.013190366,15.861938
179,0.0023179366,0.006887343,11.11734
180,0.0024287542,0.0013876936,11.910228
181,0.002782395,0.00014099985,15.032573
182,0.003403715,0.004835303,18.404697
183,0.0025927937,0.006707955,13.820679
184,0.0027500284,0.00052893645,14.824196
185,0.0030893483,0.00035822287,16.82394
186,0.0031395336,0.001504072,17.132572
187,0.0033228707,0.0,18.134434
188,0.00383557,0.0013415669,20.59214
189,0.003935736,0.0029719833,21.007936
190,0.003581041,0.00658512,19.442709
191,0.0031994549,0.0071205096,17.554834
192,0.002973138,0.0012528462,16.36974
193,0.002845497,0.0039932574,15.6591215
194,0.0029291231,0.0005885292,16.156208
195,0.0028716112,0.0007338176,15.8834505
196,0.0029827333,0.0041818605,16.542358
197,0.0025459232,0.010944093,13.929571
198,0.0023267302,0.008119075,12.3888855
199,0.0022762578,0.0031526524,11.987315
200,0.002622999,0.007661843,14.453363
201,0.0027841239,0.0047932775,15.550344
202,0.0030229504,0.0047775498,16.994953
203,0.0027069498,0.011763653,15.151991
204,0.0024977042,0.0047321506,13.825668
205,0.0022517603,0.0065955846,12.126298
206,0.0024174128,0.0024827155,13.328285
207,0.002619625,0.0020917126,14.728302
208,0.0027084202,0.00018861794,15.362526
209,0.0030335593,0.00017030138,17.390675
210,0.003112678,0.0,17.78873
211,0.0040945676,6.74445e-05,22.687756
212,0.0036787125,0.0019276885,20.620464
213,0.003524702,0.0057480847,19.943998
214,0.0036051827,0.0035202869,20.406042
215,0.0036817682,0.00050488365,20.832962
216,0.0038846459,0.0005669169,21.78609
217,0.0038407822,0.0058764834,21.616886
218,0.0035140614,0.0055900533,20.150023
219,0.0032902923,0.008519739,19.076616
220,0.0029279557,0.011569068,17.15742
221,0.0027347754,0.008934014,16.012676
222,0.0028103741,0.0067430744,16.559004
223,0.0028628907,0.00011076285,16.926886
224,0.0029955006,0.0,17.786709
225,0.003355862,0.0,19.806604
226,0.003479487,0.0,20.508934
227,0.002689753,0.0020395846,16.06536
228,0.0022286675,0.0,13.02733
229,0.0024538636,0.00027573088,14.709538
230,0.0027599107,0.002273685,16.759928
231,0.0023304902,0.011939416,13.936648
232,0.0021201663,0.0012966507,12.420349
233,0.002342935,0.003137996,14.16299
234,0.002110626,0.0016325213,12.479754
235,0.0021759525,0.00011939908,13.030062
236,0.0022946936,0.00027802042,14.007649
237,0.0024082724,0.0014940102,14.92133
238,0.0023878587,0.0014976725,14.842603
239,0.002315233,0.00013423814,14.378856
240,0.0023996148,3.666911e-05,15.072438
241,0.0023204784,0.0,14.588435
242,0.0024757406,0.0,15.694162
243,0.0020590916,0.0036178783,14.395541
244,0.0020343058,0.0018762834,14.235184
245,0.0018886566,0.0008833466,13.042677
246,0.0018639036,0.00022933012,12.888608
247,0.001981644,5.7594985e-05,14.035222
248,0.0021090317,0.0,15.176801
249,0.0024911242,0.0,18.0741
250,0.0026008019,0.0,18.931522
251,0.002090104,0.00423658,15.242282
252,0.0022649902,0.0029845876,16.589058
253,0.0022429212,0.0027631074,16.555565
254,0.0020830384,0.008914897,15.420077
255,0.0017314458,0.0031162524,12.3342085
256,0.0015762092,0.001377234,10.830881
257,0.0017844525,0.0075834445,12.956113
258,0.0018995551,0.0014823014,14.151436
259,0.0018102683,1.554757e-05,13.432747
260,0.0021769851,0.010150811,16.659672
261,0.0020250757,0.006666457,15.451436
262,0.0023655028,0.00173862,18.225767
263,0.0022339143,0.0016837642,17.348602
264,0.0021197186,0.014883016,16.512352
265,0.0016202023,0.0019417703,12.04442
266,0.001702589,0.0014559118,12.974864
267,0.0018182911,0.00015981705,14.154243
268,0.0020118349,0.0134681,15.928309
269,0.0013965929,0.003936167,9.888857
270,0.0014980544,0.00979635,11.063345
271,0.0013849168,0.0014264625,9.802521
272,0.0013347776,0.0,9.378601
273,0.0012763257,2.7604867e-05,12.617123
274,0.0011621229,0.0053977137,11.136316
275,0.0011180055,0.008122097,10.502368
276,0.0012112068,0.002553854,11.932212
277,0.0012944798,0.003774681,13.109024
278,0.0014872833,0.0037215012,15.579999
279,0.0011138361,3.926355e-05,10.809877
280,0.0011237018,0.0,11.0712805
281,0.0012723017,0.0058924044,13.242197
282,0.0010759926,0.018639982,10.422949
283,0.00086480146,0.0030130097,6.9498925
284,0.0007984654,0.0076756603,5.633571
285,0.00074535666,0.00024911686,4.637187
286,0.0008320546,0.012615005,6.428933
287,0.0009048946,0.013900627,7.6260314
288,0.0008364826,0.0,6.566578
289,0.001168514,0.0014463186,12.352973
