,et,p,t
0,0.0003894539,0.0030332308,0.54368544
1,0.00045560082,0.0037158444,3.0581694
2,0.00054626394,0.016479285,5.7964625
3,0.00041823185,0.017448459,1.5028317
4,0.00035068352,0.0043989485,-1.2117501
5,0.00034518758,0.011248984,-1.4595681
6,0.00026661347,0.0015482864,-5.7710547
7,0.00021560251,0.0,-9.500907
8,0.0002502392,0.0004931268,-6.969637
9,0.00030184517,0.0014727635,-3.8051643
10,0.00028729596,0.0,-4.5418434
11,0.0002936425,0.0023312205,-4.302649
12,0.0002957057,0.0022451072,-4.2014327
13,0.00035242163,0.012734869,-1.340432
14,0.00036374418,0.005688181,-1.039671
15,0.00038073992,0.0063451035,-0.2680832
16,0.0004468337,0.0059525305,2.0834591
17,0.00042239358,0.005313009,1.1296535
18,0.00042687453,0.0122015765,1.290777
19,0.0003592221,0.0052577527,-1.5126523
20,0.00028805732,0.0,-5.1942782
21,0.00025777583,0.0,-7.3221354
22,0.0002489635,0.0,-7.909485
23,0.00030816815,0.0,-4.2137785
24,0.0004016791,0.0015045814,0.042566888
25,0.00039948852,8.39153e-05,-0.14267133
26,0.00033301313,0.0,-3.0365674
27,0.0002955654,0.0,-5.1406
28,0.000285975,0.0,-5.775204
29,0.00030287847,0.0,-4.9437594
30,0.00032137847,0.0,-4.0596657
31,0.0005100348,0.0,-4.1966977
32,0.0005147826,0.0,-4.054069
33,0.0007419607,0.0076130475,1.6253084
34,0.00069055776,0.008211224,0.4021394
35,0.00063552125,0.0055231536,-0.8784955
36,0.0007941644,0.007351069,2.4424977
37,0.00093579036,0.0006390251,4.836233
38,0.00087015174,0.0,3.6341197
39,0.0009134273,0.0005235319,4.3390336
40,0.00074177183,0.0030560503,1.0408689
41,0.0006017743,0.0,-2.1441405
42,0.00048395916,0.0,-5.5418572
43,0.00045432852,0.0,-6.6122026
44,0.00050276244,0.0,-5.077037
45,0.00053545384,0.0,-4.167936
46,0.0005634926,0.0,-3.4739015
47,0.0005569833,0.0,-3.703321
48,0.0005443452,0.00027236796,-4.0936255
49,0.00052208186,0.0,-4.808068
50,0.0005438003,0.0,-4.2404866
51,0.0005577874,2.2006887e-05,-3.9137409
52,0.0005708623,0.0,-3.6706483
53,0.0006212291,0.0,-2.434122
54,0.0006840233,0.0,-1.0532357
55,0.00072760344,0.0,-0.1931963
56,0.00070421264,0.0,-0.8224254
57,0.00076160836,0.0010113535,0.3240191
58,0.00080783624,0.0066739204,1.2042153
59,0.00079225254,0.0027593684,0.97804797
60,0.0009308987,0.0065703,3.330477
61,0.0009014207,0.013591348,2.8052409
62,0.00079737825,0.002377865,0.93683755
63,0.0008300696,0.0,1.4018152
64,0.001043075,0.0005484355,4.7836924
65,0.0011632426,0.0,6.5698633
66,0.0011681822,0.004420163,6.3799233
67,0.0012854683,0.0018570162,8.046619
68,0.0013912675,0.0011177484,9.366484
69,0.001524854,0.00934253,10.800268
70,0.0012547722,0.02200177,7.505185
71,0.0010948059,0.0040221643,5.1452174
72,0.0010460651,0.00060003373,4.391631
73,0.0010081672,0.0037705717,3.68994
74,0.0009417183,0.003666156,2.600198
75,0.0008155213,0.0078893285,0.41975352
76,0.0008067712,0.00076697586,0.037156932
77,0.0009507931,0.0,2.4259872
78,0.0011598581,0.0,5.596219
79,0.001313754,0.0,7.4410076
80,0.001297135,0.0017098683,7.1676373
81,0.0014472456,0.008396754,8.900716
82,0.0015395979,0.003402945,9.871246
83,0.0017944279,0.00021353767,12.352408
84,0.0013731074,0.0043893927,7.967064
85,0.0013419938,0.0,7.5458765
86,0.0016237543,0.0013997089,10.458292
87,0.001535843,0.008393887,9.4589405
88,0.0014894963,0.007926463,8.969341
89,0.001537063,0.0066137067,9.253065
90,0.0021439341,0.0007838786,8.908805
91,0.0022992266,0.0,9.935165
92,0.0024826378,0.00015079028,11.317419
93,0.002202333,0.001607102,9.325431
94,0.0018232975,0.0009657311,6.2059884
95,0.002058862,0.0013481318,8.071054
96,0.0024742265,0.0,10.994513
97,0.002412029,0.0036760005,10.574947
98,0.002264099,0.003060491,9.401619
99,0.0025585527,2.6181548e-05,11.407185
100,0.002897998,0.00039131742,13.377752
101,0.002826599,0.00084172154,12.844722
102,0.002868593,0.00086155185,13.102223
103,0.0027722162,0.00017861671,12.507036
104,0.002757139,0.00019010926,12.332372
105,0.0022484476,0.0,8.938763
106,0.0016467462,7.047732e-05,3.7901702
107,0.0014203109,0.0,1.3426685
108,0.0015290546,0.0019468913,2.3931975
109,0.0016569694,0.0019428057,3.5470145
110,0.0017918905,0.0,4.817974
111,0.0018031293,0.0,4.9517026
112,0.0017915742,0.0,4.82479
113,0.0020476992,0.0003915217,6.870307
114,0.002299293,0.0012934317,8.622519
115,0.001885328,0.012833005,5.2963657
116,0.00162867,0.0035996442,2.915932
117,0.0016676533,0.0012902629,3.241179
118,0.0018718968,0.0008148496,5.0053525
119,0.0022542076,0.0026730592,8.0589075
120,0.0015956679,0.00572788,6.1958575
121,0.0014307193,0.0037174872,4.31666
122,0.0014540803,0.0022127153,4.4530077
123,0.0013682867,0.0080660675,3.2691488
124,0.0014331472,0.0032070996,3.9869905
125,0.0017199138,0.0,7.024911
126,0.0024534808,0.0,12.764771
127,0.0023018918,0.00071513123,11.653832
128,0.0024769949,0.0020368649,12.820711
129,0.0023334078,0.013402739,11.65538
130,0.0021061099,0.00839196,9.946161
131,0.0021418196,0.0025412105,10.240312
132,0.0021162936,0.0021874236,10.044356
133,0.0021775307,0.0043906076,10.409562
134,0.0021550714,0.006734937,10.187639
135,0.0021122047,0.006151325,9.892982
136,0.00196478,0.0031101876,8.658716
137,0.002603689,0.0,13.266939
138,0.0030081873,0.0,15.666711
139,0.0033801398,0.0,17.635729
140,0.0033245918,0.009813115,17.30476
141,0.002260092,0.006039135,10.767203
142,0.0026257655,0.0012591907,13.3403
143,0.002237034,0.008905236,10.581942
144,0.0021567703,0.0137594035,9.949412
145,0.0021718391,0.018359764,9.974882
146,0.0019153791,0.0046851663,7.8250165
147,0.0023722397,0.0066077258,11.416574
148,0.0026610685,0.0017404662,13.32501
149,0.0028659962,0.0042921477,14.410331
150,0.0035411927,0.0001367444,17.998808
151,0.0034024594,0.0024052064,17.345888
152,0.0036685145,0.003614617,18.573631
153,0.003119308,0.010797201,15.8512535
154,0.0021902586,0.006214449,9.829479
155,0.0028325815,0.0,14.123945
156,0.003060998,0.0012170153,15.406912
157,0.003316072,0.0001563962,16.766127
158,0.0035398318,0.005613427,17.750061
159,0.003342078,0.01572565,16.893967
160,0.0028178992,0.00033415662,14.0147505
161,0.0037114946,0.0,18.661678
162,0.0034440667,0.00018689246,17.394321
163,0.0029823657,0.0,14.934774
164,0.0037717265,0.0,18.911373
165,0.0039980942,0.0,19.927889
166,0.0028045678,0.0006990954,13.901406
167,0.0022562747,0.0020790505,10.194299
168,0.0020570264,0.0028645115,8.606976
169,0.0021250795,0.0002386206,9.171541
170,0.0023560715,0.0042775455,10.897152
171,0.0021007524,0.007164019,8.938318
172,0.0022781338,0.0015175684,10.181194
173,0.0027147746,0.00022808688,13.207747
174,0.0027019267,0.005143741,13.116591
175,0.0028344465,0.007155372,13.874222
176,0.002864283,0.0057388917,14.105956
177,0.0031920488,0.0020136207,15.9566555
178,0.0030353277,0.014205536,15.114024
179,0.0022692094,0.0020684877,10.335229
180,0.0023277125,0.0,10.743391
181,0.002808051,0.0,14.966414
182,0.0034178796,0.0032656533,18.215832
183,0.0024208673,0.013122033,12.392378
