,et,p,t
0,0.00012090486,0.0025726052,1.1792967
1,0.00014258487,0.009038161,3.865088
2,0.00014921997,0.008859454,4.6083283
3,0.00011857507,0.0027706178,0.795407
4,0.00010365587,0.0017216094,-1.296274
5,9.684796e-05,0.0011239827,-2.3803225
6,7.3702206e-05,0.00046989377,-6.77647
7,6.468456e-05,0.0,-8.992538
8,9.522355e-05,0.0014725451,-2.787146
9,0.00011085135,0.0026001385,-0.463373
10,9.4484596e-05,0.0,-2.9853823
11,9.702158e-05,0.00091726705,-2.5976167
12,8.54744e-05,0.0,-4.628848
13,0.0001098878,0.008880088,-0.78071004
14,0.000108392815,0.0012834703,-1.0421816
15,0.0001119687,0.0036355057,-0.60042745
16,0.00013821542,0.004127321,2.5843506
17,0.00011704628,0.0025510122,-0.03907181
18,0.00012569418,0.003966956,0.98101795
19,9.590204e-05,0.000267663,-3.2205906
20,7.511064e-05,0.0,-7.125638
21,5.9432885e-05,0.0,-11.089767
22,6.681791e-05,0.0,-9.1805935
23,0.00010239242,0.0,-2.4436495
24,0.00013232666,0.002453678,1.3814085
25,8.218389e-05,9.80335e-05,-6.0066347
26,7.809191e-05,0.0,-6.913141
27,8.457688e-05,0.0,-5.71037
28,7.537295e-05,0.0,-7.5508995
29,8.792996e-05,0.0,-5.166101
30,9.542588e-05,0.0,-3.9671478
31,0.00040123527,0.0,-3.3344665
32,0.00047030748,0.0,-1.0051239
33,0.0006163066,0.0074962527,3.117618
34,0.0005414335,0.0014017371,0.9571811
35,0.0004890952,0.0019673728,-0.62549734
36,0.00063228817,0.004753422,3.303754
37,0.0007187156,0.0016055483,5.369647
38,0.0006802812,0.0002692716,4.361041
39,0.00065378833,0.0,3.6093266
40,0.00058718945,0.0015928764,1.7301089
41,0.00043116073,0.0,-2.9483094
42,0.00042400876,0.0,-3.2661774
43,0.00042229187,0.0,-3.4013703
44,0.00041641766,0.0,-3.6797333
45,0.00045126295,0.0,-2.549579
46,0.00046132313,0.0,-2.293698
47,0.000432233,0.0,-3.340622
48,0.0004275049,0.0013317992,-3.5730348
49,0.00039320104,0.0001377881,-4.902789
50,0.00042591026,7.863849e-05,-3.7724977
51,0.00042440864,0.0,-3.8969026
52,0.00041539207,0.0,-4.2885714
53,0.0004893333,0.0011368684,-1.949475
54,0.0005779037,0.0005522972,0.42547017
55,0.00054767885,0.0,-0.42041916
56,0.00041589048,0.0,-4.5672607
57,0.00045462893,0.0,-3.3135865
58,0.0005988092,0.0008961285,0.6549654
59,0.00080919574,0.00076205423,1.4175003
60,0.00084059156,0.0016606081,1.9493086
61,0.00086228794,0.0010188249,2.2824445
62,0.00068528095,0.00010112345,-1.2951615
63,0.0007085827,0.0,-0.8780473
64,0.0010118932,0.0011814132,4.669295
65,0.0012266303,0.0,7.773473
66,0.0013472696,0.0012773528,9.252825
67,0.0014231836,0.008139031,10.085551
68,0.0014920887,0.009693949,10.7909565
69,0.0016489911,0.003892792,12.384432
70,0.0013743781,0.005283761,9.233113
71,0.0012143435,0.0034405845,7.0885634
72,0.0011197212,0.0012425806,5.6631365
73,0.0010524706,0.0014290783,4.5564623
74,0.001039787,0.0026509806,4.2735124
75,0.0009084845,0.0017844664,1.9728836
76,0.000895665,0.0003541223,1.6756516
77,0.0011267741,0.0,5.354692
78,0.0012371433,0.0,6.8142533
79,0.0015479397,0.0,10.456007
80,0.0015565854,0.0,10.456172
81,0.0015588684,0.006117402,10.403987
82,0.0016116481,0.002522211,10.878865
83,0.0018430541,0.0,13.057014
84,0.0015234953,0.0035007626,9.762288
85,0.0013285993,0.0,7.4247236
86,0.0016075736,0.0,10.505275
87,0.0017807003,0.0,12.138939
88,0.0016156852,0.0019769026,10.427678
89,0.0019910885,0.0,13.864204
90,0.0028577824,0.0,13.368988
91,0.0029411772,0.0,13.779318
92,0.0027690455,0.0,12.672186
93,0.0021920383,0.0011446269,8.660485
94,0.0019013373,7.2968534e-05,6.25414
95,0.0021410617,0.00025081023,8.135522
96,0.0026104997,0.0,11.365314
97,0.0024885,0.00416434,10.475775
98,0.002383322,0.0,9.690706
99,0.0024682744,0.0,10.199645
100,0.002675068,0.0,11.473541
101,0.003310815,0.0,15.0069065
102,0.0029233198,0.0009938863,12.793231
103,0.0024517765,0.0,9.773543
104,0.0024147548,0.0,9.459942
105,0.0018868509,0.0,5.3337636
106,0.0015289108,0.0,1.8640095
107,0.0015068598,0.0,1.5688833
108,0.0016530168,0.0009786902,2.9958882
109,0.0017936204,0.0,4.247616
110,0.0018788358,0.0,4.932723
111,0.0017057303,0.0,3.3023975
112,0.0016316898,0.0,2.5186818
113,0.0019190857,0.0,5.0822287
114,0.0023166,0.0,8.100305
115,0.0025921068,0.005066515,9.887625
116,0.0020176189,0.01412336,5.7016377
117,0.0018063064,0.0010771236,3.864687
118,0.002137818,0.0033668806,6.541421
119,0.0022961763,0.0093108,7.6488976
120,0.0016427219,0.0039937682,5.4803724
121,0.0016019868,0.0,5.0151134
122,0.0017353718,0.0,6.2567058
123,0.0017254557,0.0034224554,6.1072187
124,0.0018075475,0.00232299,6.8065653
125,0.0021316505,0.0,9.454201
126,0.002682046,0.0,13.21758
127,0.0030036473,0.0,15.080388
128,0.0030460781,0.0,15.263356
129,0.0034888037,0.00067696546,17.529396
130,0.0031247237,0.0062544383,15.582293
131,0.002755112,0.01587608,13.393376
132,0.0027129797,0.008311539,13.086345
133,0.0027692947,0.0071177734,13.38311
134,0.0028776682,0.0040186243,13.978358
135,0.0028607936,0.0027352064,13.829097
136,0.0023328206,0.0020760815,10.37462
137,0.002793901,0.0,13.336436
138,0.0034906839,0.0,17.072628
139,0.0039166287,0.0,19.014957
140,0.0040495032,0.0029426147,19.550743
141,0.002812991,0.0071864575,13.272392
142,0.0030006361,0.0,14.317894
143,0.0025530711,0.003911553,11.571831
144,0.002709351,0.0041696513,12.519096
145,0.0027313519,0.007647903,12.619557
146,0.002319413,0.006933765,9.87061
147,0.002708642,0.0027019628,12.408495
148,0.0029516397,0.008100169,13.815516
149,0.003493113,0.0,16.640947
150,0.004040374,0.0,19.120802
151,0.0036722037,0.00413837,19.072784
152,0.00421556,0.005032006,21.464808
153,0.003562556,0.01465675,18.488705
154,0.0027017193,0.0034340404,13.759125
155,0.0029324836,0.0,15.124411
156,0.0031239898,0.00069411384,16.169987
157,0.003228378,0.0014887846,16.705135
158,0.0036449295,0.0026932764,18.77656
159,0.0034834542,0.013475582,17.959583
160,0.0028042619,0.0,14.255841
161,0.0036753733,0.0,18.86047
162,0.0029413572,0.0003671722,15.014145
163,0.00289888,0.0,14.776154
164,0.003801179,0.00019248272,19.400387
165,0.0038991105,0.0,19.829859
166,0.002568622,0.0008509798,12.704878
167,0.0024796536,0.0013956178,12.120249
168,0.002374915,0.004453429,11.397989
169,0.00225069,0.0006786029,10.506498
170,0.0023119075,0.0061247502,10.943277
171,0.002349921,0.0025261326,11.216208
172,0.0026998578,0.0,13.525543
173,0.0030183417,0.0008007659,15.405591
174,0.0029744278,0.00048628653,15.160376
175,0.0030969023,0.0019817562,15.846552
