,discharge,datetime
0,2039.7568,1901-01-01
1,2042.8389,1901-01-02
2,2043.9419,1901-01-03
3,2042.8226,1901-01-04
4,2039.5093,1901-01-05
5,2034.078,1901-01-06
6,2026.5645,1901-01-07
7,2017.0934,1901-01-08
8,2011.8228,1901-01-09
9,1997.7909,1901-01-10
10,1982.7141,1901-01-11
11,1972.472,1901-01-12
12,1961.269,1901-01-13
13,1945.5684,1901-01-14
14,1925.486,1901-01-15
15,1902.8418,1901-01-16
16,1879.1989,1901-01-17
17,1855.3323,1901-01-18
18,1840.5956,1901-01-19
19,1823.5366,1901-01-20
20,1806.155,1901-01-21
21,1793.4496,1901-01-22
22,1797.1132,1901-01-23
23,1820.2716,1901-01-24
24,1884.6018,1901-01-25
25,1981.638,1901-01-26
26,2038.5397,1901-01-27
27,2067.0132,1901-01-28
28,2100.5742,1901-01-29
29,2125.6262,1901-01-30
30,2148.628,1901-01-31
31,2177.241,1901-02-01
32,2217.132,1901-02-02
33,2276.7866,1901-02-03
34,2347.3203,1901-02-04
35,2364.4167,1901-02-05
36,2392.1072,1901-02-06
37,2416.4443,1901-02-07
38,2419.26,1901-02-08
39,2394.253,1901-02-09
40,2342.584,1901-02-10
41,2277.5479,1901-02-11
42,2212.9321,1901-02-12
43,2156.6519,1901-02-13
44,2111.0347,1901-02-14
45,2075.31,1901-02-15
46,2047.72,1901-02-16
47,2026.46,1901-02-17
48,2009.2959,1901-02-18
49,1991.8887,1901-02-19
50,1968.9924,1901-02-20
51,1938.7709,1901-02-21
52,1904.0778,1901-02-22
53,1869.6917,1901-02-23
54,1885.5613,1901-02-24
55,1900.0413,1901-02-25
56,1852.6493,1901-02-26
57,1814.5892,1901-02-27
58,1796.5444,1901-02-28
59,1850.6558,1901-03-01
60,1983.8962,1901-03-02
61,2138.82,1901-03-03
62,2359.773,1901-03-04
63,2651.9675,1901-03-05
64,2872.705,1901-03-06
65,2930.0142,1901-03-07
66,2880.1514,1901-03-08
67,2762.4631,1901-03-09
68,2618.5005,1901-03-10
69,2481.174,1901-03-11
70,2363.7046,1901-03-12
71,2269.3494,1901-03-13
72,2197.491,1901-03-14
73,2145.166,1901-03-15
74,2108.3408,1901-03-16
75,2082.4124,1901-03-17
76,2061.9995,1901-03-18
77,2043.7579,1901-03-19
78,2042.5426,1901-03-20
79,2082.3042,1901-03-21
80,2162.3386,1901-03-22
81,2250.8098,1901-03-23
82,2303.935,1901-03-24
83,2306.4702,1901-03-25
84,2273.8125,1901-03-26
85,2228.9001,1901-03-27
86,2184.486,1901-03-28
87,2145.815,1901-03-29
88,2125.5825,1901-03-30
89,2165.5732,1901-03-31
90,2250.6921,1901-04-01
91,2255.975,1901-04-02
92,2244.5095,1901-04-03
93,2285.346,1901-04-04
94,2365.1687,1901-04-05
95,2457.0242,1901-04-06
96,2650.5833,1901-04-07
97,2860.0256,1901-04-08
98,2980.4407,1901-04-09
99,3154.4763,1901-04-10
100,3413.8264,1901-04-11
101,3705.6692,1901-04-12
102,3893.77,1901-04-13
103,3896.5564,1901-04-14
104,3764.684,1901-04-15
105,3598.0986,1901-04-16
106,3450.0986,1901-04-17
107,3314.106,1901-04-18
108,3177.2227,1901-04-19
109,3040.4534,1901-04-20
110,2914.9177,1901-04-21
111,2811.202,1901-04-22
112,2733.1067,1901-04-23
113,2677.2346,1901-04-24
114,2636.6345,1901-04-25
115,2604.5334,1901-04-26
116,2576.0657,1901-04-27
117,2573.562,1901-04-28
118,2606.4966,1901-04-29
119,2675.603,1901-04-30
120,2790.8225,1901-05-01
121,2945.5618,1901-05-02
122,3151.314,1901-05-03
123,3360.904,1901-05-04
124,3450.6055,1901-05-05
125,3379.6309,1901-05-06
126,3214.38,1901-05-07
127,3031.3875,1901-05-08
128,2882.1257,1901-05-09
129,2782.579,1901-05-10
130,2732.005,1901-05-11
131,2698.52,1901-05-12
132,2682.2366,1901-05-13
133,2677.4604,1901-05-14
134,2667.87,1901-05-15
135,2658.9502,1901-05-16
136,2664.9028,1901-05-17
137,2688.143,1901-05-18
138,2719.5837,1901-05-19
139,2745.1084,1901-05-20
140,2750.8552,1901-05-21
141,2729.9846,1901-05-22
142,2689.729,1901-05-23
143,2653.6587,1901-05-24
144,2642.2622,1901-05-25
145,2660.3982,1901-05-26
146,2690.5195,1901-05-27
147,2722.3057,1901-05-28
148,2772.3623,1901-05-29
149,2832.3716,1901-05-30
150,2924.606,1901-05-31
151,3046.193,1901-06-01
152,3178.6416,1901-06-02
153,3314.0544,1901-06-03
154,3481.4536,1901-06-04
155,3770.2327,1901-06-05
156,4005.7473,1901-06-06
