,discharge,datetime
0,135.91306,1901-01-01
1,134.19926,1901-01-02
2,132.49422,1901-01-03
3,130.80112,1901-01-04
4,129.12376,1901-01-05
5,127.465164,1901-01-06
6,125.827515,1901-01-07
7,124.2121,1901-01-08
8,122.61963,1901-01-09
9,121.05113,1901-01-10
10,119.5068,1901-01-11
11,117.986885,1901-01-12
12,116.491066,1901-01-13
13,115.018776,1901-01-14
14,113.56982,1901-01-15
15,112.14426,1901-01-16
16,110.7416,1901-01-17
17,109.36067,1901-01-18
18,108.00069,1901-01-19
19,111.50471,1901-01-20
20,154.15718,1901-01-21
21,249.0844,1901-01-22
22,299.7092,1901-01-23
23,273.56912,1901-01-24
24,277.28012,1901-01-25
25,295.14514,1901-01-26
26,263.8501,1901-01-27
27,226.68384,1901-01-28
28,194.42023,1901-01-29
29,170.21048,1901-01-30
30,153.0939,1901-01-31
31,152.86426,1901-02-01
32,148.38208,1901-02-02
33,167.59248,1901-02-03
34,226.40338,1901-02-04
35,289.9617,1901-02-05
36,305.0222,1901-02-06
37,277.4085,1901-02-07
38,239.63557,1901-02-08
39,208.06808,1901-02-09
40,185.84924,1901-02-10
41,170.63303,1901-02-11
42,160.18254,1901-02-12
43,153.01598,1901-02-13
44,148.1035,1901-02-14
45,144.98318,1901-02-15
46,143.19989,1901-02-16
47,142.18857,1901-02-17
48,141.54973,1901-02-18
49,141.02357,1901-02-19
50,140.45126,1901-02-20
51,139.75755,1901-02-21
52,138.91878,1901-02-22
53,137.93791,1901-02-23
54,136.83064,1901-02-24
55,135.71165,1901-02-25
56,134.55722,1901-02-26
57,166.99493,1901-02-27
58,292.416,1901-02-28
59,541.8204,1901-03-01
60,866.88416,1901-03-02
61,966.324,1901-03-03
62,764.62256,1901-03-04
63,588.97754,1901-03-05
64,484.21902,1901-03-06
65,389.94675,1901-03-07
66,324.61966,1901-03-08
67,275.03592,1901-03-09
68,239.54436,1901-03-10
69,215.3104,1901-03-11
70,199.4678,1901-03-12
71,190.22241,1901-03-13
72,185.11414,1901-03-14
73,181.76468,1901-03-15
74,179.02437,1901-03-16
75,177.13979,1901-03-17
76,176.21083,1901-03-18
77,224.25592,1901-03-19
78,296.0553,1901-03-20
79,299.23767,1901-03-21
80,274.18384,1901-03-22
81,244.78433,1901-03-23
82,221.21338,1901-03-24
83,204.71736,1901-03-25
84,193.81242,1901-03-26
85,186.86676,1901-03-27
86,187.17276,1901-03-28
87,200.50833,1901-03-29
88,205.46872,1901-03-30
89,204.20021,1901-03-31
90,209.39111,1901-04-01
91,209.79588,1901-04-02
92,204.47614,1901-04-03
93,224.52155,1901-04-04
94,242.37898,1901-04-05
95,240.37132,1901-04-06
96,319.1188,1901-04-07
97,412.71017,1901-04-08
98,375.67245,1901-04-09
99,314.9066,1901-04-10
100,266.83087,1901-04-11
101,235.46599,1901-04-12
102,215.96532,1901-04-13
103,204.2366,1901-04-14
104,197.12477,1901-04-15
105,192.37833,1901-04-16
106,189.43977,1901-04-17
107,187.96558,1901-04-18
108,186.57805,1901-04-19
109,185.0526,1901-04-20
110,183.6778,1901-04-21
111,182.42099,1901-04-22
112,181.13715,1901-04-23
113,179.67918,1901-04-24
114,177.95833,1901-04-25
115,175.96419,1901-04-26
116,173.73419,1901-04-27
117,187.9764,1901-04-28
118,198.40306,1901-04-29
119,190.45174,1901-04-30
120,181.50554,1901-05-01
121,190.35078,1901-05-02
122,201.93709,1901-05-03
123,196.67386,1901-05-04
124,188.11353,1901-05-05
125,178.68867,1901-05-06
126,172.17091,1901-05-07
127,165.36615,1901-05-08
128,158.53961,1901-05-09
129,154.0075,1901-05-10
130,162.54631,1901-05-11
131,169.45679,1901-05-12
132,162.96384,1901-05-13
133,156.0987,1901-05-14
134,149.7887,1901-05-15
135,144.02051,1901-05-16
136,138.76176,1901-05-17
137,134.05608,1901-05-18
138,129.91452,1901-05-19
139,126.3161,1901-05-20
140,123.2335,1901-05-21
141,120.58611,1901-05-22
142,118.24594,1901-05-23
143,116.10167,1901-05-24
144,114.077515,1901-05-25
145,112.125374,1901-05-26
146,111.00895,1901-05-27
147,109.86535,1901-05-28
148,133.47012,1901-05-29
149,166.25748,1901-05-30
150,167.39966,1901-05-31
151,156.86554,1901-06-01
152,160.58638,1901-06-02
153,208.7687,1901-06-03
154,262.99704,1901-06-04
155,257.94357,1901-06-05
156,225.49144,1901-06-06
157,191.90483,1901-06-07
158,164.27179,1901-06-08
159,143.46794,1901-06-09
160,145.47302,1901-06-10
161,148.15706,1901-06-11
162,135.19342,1901-06-12
163,126.90188,1901-06-13
164,118.83039,1901-06-14
165,110.42398,1901-06-15
166,143.79451,1901-06-16
167,219.62294,1901-06-17
168,247.68753,1901-06-18
169,266.02252,1901-06-19
170,263.6663,1901-06-20
171,219.0157,1901-06-21
172,180.53526,1901-06-22
173,151.37262,1901-06-23
174,130.49664,1901-06-24
175,115.489456,1901-06-25
176,104.63763,1901-06-26
177,96.59542,1901-06-27
178,95.19938,1901-06-28
179,159.81262,1901-06-29
180,235.25395,1901-06-30
181,216.3017,1901-07-01
182,192.57968,1901-07-02
183,215.1134,1901-07-03
184,235.17479,1901-07-04
185,205.41309,1901-07-05
186,187.04523,1901-07-06
187,173.75963,1901-07-07
188,154.18907,1901-07-08
189,136.08127,1901-07-09
190,122.88736,1901-07-10
191,111.146805,1901-07-11
192,100.80811,1901-07-12
193,92.061676,1901-07-13
194,84.47641,1901-07-14
195,77.33829,1901-07-15
196,72.9099,1901-07-16
197,69.17999,1901-07-17
198,66.068474,1901-07-18
199,63.432316,1901-07-19
200,62.813126,1901-07-20
201,68.05791,1901-07-21
202,80.59082,1901-07-22
203,101.28572,1901-07-23
204,117.32958,1901-07-24
205,118.81201,1901-07-25
206,122.0173,1901-07-26
207,127.92215,1901-07-27
208,140.47371,1901-07-28
209,158.39075,1901-07-29
210,152.7044,1901-07-30
211,140.64323,1901-07-31
212,138.40971,1901-08-01
213,135.49106,1901-08-02
214,130.58179,1901-08-03
215,120.026855,1901-08-04
216,106.22831,1901-08-05
217,109.088554,1901-08-06
218,111.438034,1901-08-07
219,96.17946,1901-08-08
220,83.11829,1901-08-09
221,73.357086,1901-08-10
222,88.13228,1901-08-11
223,107.7648,1901-08-12
224,138.72108,1901-08-13
225,191.86331,1901-08-14
226,272.737,1901-08-15
227,327.2563,1901-08-16
228,280.31332,1901-08-17
229,238.77275,1901-08-18
230,199.91808,1901-08-19
231,164.03271,1901-08-20
232,136.8373,1901-08-21
233,116.9581,1901-08-22
234,102.06038,1901-08-23
235,90.90175,1901-08-24
236,82.522964,1901-08-25
237,132.5936,1901-08-26
238,208.16086,1901-08-27
239,221.27306,1901-08-28
240,201.62593,1901-08-29
241,161.7401,1901-08-30
242,130.29855,1901-08-31
243,107.25235,1901-09-01
244,90.756485,1901-09-02
245,78.853004,1901-09-03
246,69.8667,1901-09-04
247,62.92236,1901-09-05
248,68.23843,1901-09-06
249,77.223,1901-09-07
250,153.77931,1901-09-08
251,336.46774,1901-09-09
252,526.7247,1901-09-10
253,634.15204,1901-09-11
254,474.47125,1901-09-12
255,316.7972,1901-09-13
256,218.28062,1901-09-14
257,160.52089,1901-09-15
258,125.78508,1901-09-16
259,103.94086,1901-09-17
260,89.55765,1901-09-18
261,79.65996,1901-09-19
262,72.51056,1901-09-20
263,67.153984,1901-09-21
264,63.01708,1901-09-22
265,59.683582,1901-09-23
266,56.99904,1901-09-24
267,128.44733,1901-09-25
268,247.26118,1901-09-26
269,247.09357,1901-09-27
270,208.41042,1901-09-28
271,167.23904,1901-09-29
272,134.00087,1901-09-30
273,109.76883,1901-10-01
274,92.42217,1901-10-02
275,80.05597,1901-10-03
276,107.227684,1901-10-04
277,129.09131,1901-10-05
278,126.8486,1901-10-06
279,119.36331,1901-10-07
280,167.83122,1901-10-08
281,279.86884,1901-10-09
282,309.97415,1901-10-10
283,265.08298,1901-10-11
284,210.03555,1901-10-12
285,166.69768,1901-10-13
286,136.73483,1901-10-14
287,117.577156,1901-10-15
288,105.16316,1901-10-16
289,96.22195,1901-10-17
290,89.36355,1901-10-18
291,83.93765,1901-10-19
292,79.6842,1901-10-20
293,76.47597,1901-10-21
294,74.10983,1901-10-22
295,103.11546,1901-10-23
296,133.28975,1901-10-24
297,129.17854,1901-10-25
298,121.2926,1901-10-26
299,111.963264,1901-10-27
300,103.175705,1901-10-28
301,95.643616,1901-10-29
302,89.5773,1901-10-30
303,84.89561,1901-10-31
304,81.342705,1901-11-01
305,78.76092,1901-11-02
306,76.93241,1901-11-03
307,75.65167,1901-11-04
308,74.737045,1901-11-05
309,74.04064,1901-11-06
310,73.452545,1901-11-07
311,72.89883,1901-11-08
312,72.33559,1901-11-09
313,71.74057,1901-11-10
314,71.12309,1901-11-11
315,70.49231,1901-11-12
316,69.91133,1901-11-13
317,69.539,1901-11-14
318,69.49801,1901-11-15
319,69.765305,1901-11-16
320,70.145195,1901-11-17
321,70.34204,1901-11-18
322,77.64028,1901-11-19
323,98.41125,1901-11-20
324,118.41014,1901-11-21
325,125.44676,1901-11-22
326,124.39103,1901-11-23
327,118.179794,1901-11-24
328,110.82192,1901-11-25
329,103.87646,1901-11-26
330,97.71403,1901-11-27
331,92.42053,1901-11-28
332,88.17904,1901-11-29
333,106.6485,1901-11-30
334,137.60085,1901-12-01
335,160.37944,1901-12-02
336,185.50587,1901-12-03
337,189.5311,1901-12-04
338,177.26364,1901-12-05
339,159.40297,1901-12-06
340,141.85979,1901-12-07
341,130.92921,1901-12-08
342,130.15575,1901-12-09
343,129.3939,1901-12-10
344,125.469086,1901-12-11
345,124.10136,1901-12-12
346,123.79988,1901-12-13
347,123.11114,1901-12-14
348,121.85944,1901-12-15
349,120.504875,1901-12-16
350,119.42788,1901-12-17
351,118.87748,1901-12-18
352,151.71841,1901-12-19
353,194.79732,1901-12-20
354,200.11098,1901-12-21
355,196.44754,1901-12-22
356,216.00967,1901-12-23
357,225.95421,1901-12-24
358,211.27412,1901-12-25
359,191.08856,1901-12-26
360,173.56657,1901-12-27
361,157.75285,1901-12-28
362,148.59386,1901-12-29
363,152.59627,1901-12-30
364,159.06665,1901-12-31
365,151.24666,1902-01-01
366,162.65167,1902-01-02
367,177.56221,1902-01-03
368,172.49641,1902-01-04
369,166.12346,1902-01-05
370,159.84741,1902-01-06
371,154.98244,1902-01-07
372,151.61183,1902-01-08
373,148.8442,1902-01-09
374,146.08284,1902-01-10
375,142.78716,1902-01-11
376,139.44228,1902-01-12
377,136.6938,1902-01-13
378,134.6744,1902-01-14
379,133.24069,1902-01-15
380,137.53548,1902-01-16
381,141.73868,1902-01-17
382,143.44711,1902-01-18
383,144.43596,1902-01-19
384,143.01831,1902-01-20
385,140.01318,1902-01-21
386,136.77145,1902-01-22
387,133.96948,1902-01-23
388,131.5941,1902-01-24
389,129.6599,1902-01-25
390,128.30261,1902-01-26
391,127.670906,1902-01-27
392,152.28802,1902-01-28
393,188.51762,1902-01-29
394,198.6944,1902-01-30
395,193.94461,1902-01-31
396,181.14995,1902-02-01
397,167.3991,1902-02-02
398,155.37085,1902-02-03
399,145.76402,1902-02-04
400,138.69304,1902-02-05
401,133.81186,1902-02-06
402,187.06804,1902-02-07
403,291.7524,1902-02-08
404,317.26163,1902-02-09
405,278.38788,1902-02-10
406,234.08318,1902-02-11
407,199.9575,1902-02-12
408,180.3661,1902-02-13
409,169.15488,1902-02-14
410,160.58272,1902-02-15
411,154.56923,1902-02-16
412,149.0579,1902-02-17
413,144.15991,1902-02-18
414,140.28339,1902-02-19
415,137.39764,1902-02-20
416,135.28564,1902-02-21
417,133.67517,1902-02-22
418,132.34203,1902-02-23
419,131.16139,1902-02-24
420,130.02283,1902-02-25
421,131.09822,1902-02-26
422,138.95525,1902-02-27
423,151.09438,1902-02-28
424,152.89964,1902-03-01
