"datetime","obs","pcr","res"
1981-01-01,670,605.06915,64.93085
1981-01-02,647,599.35767,47.64233
1981-01-03,727,874.38354,-147.38354
1981-01-04,1363,998.86804,364.13196
1981-01-05,1202,968.0627,233.9373
1981-01-06,1026,952.9723,73.0277
1981-01-07,998,952.8465,45.1535
1981-01-08,950,955.12164,-5.12163999999996
1981-01-09,904,956.6135,-52.6135
1981-01-10,873,958.3433,-85.3433
1981-01-11,857,959.70905,-102.70905
1981-01-12,813,960.6451,-147.6451
1981-01-13,756,961.2608,-205.2608
1981-01-14,744,979.8623,-235.8623
1981-01-15,860,974.72955,-114.72955
1981-01-16,928,954.04,-26.04
1981-01-17,888,999.35657,-111.35657
1981-01-18,925,1011.44684,-86.44684
1981-01-19,917,1014.22,-97.22
1981-01-20,1112,990.1325,121.8675
1981-01-21,1019,944.3064,74.6935999999999
1981-01-22,964,880.401,83.599
1981-01-23,902,870.373,31.627
1981-01-24,859,857.11993,1.88007000000005
1981-01-25,804,857.9846,-53.9846
1981-01-26,772,848.7522,-76.7522
1981-01-27,722,770.165,-48.165
1981-01-28,708,697.9807,10.0193
1981-01-29,717,686.1938,30.8062
1981-01-30,681,676.167,4.83299999999997
1981-01-31,655,676.1665,-21.1665
1981-02-01,630,675.9732,-45.9732
1981-02-02,621,671.4095,-50.4095
1981-02-03,619,750.396,-131.396
1981-02-04,912,825.53864,86.46136
1981-02-05,904,801.18567,102.81433
1981-02-06,840,804.18915,35.81085
1981-02-07,835,785.8548,49.1452
1981-02-08,1030,784.9907,245.0093
1981-02-09,1069,826.8535,242.1465
1981-02-10,1001,839.2847,161.7153
1981-02-11,993,838.52466,154.47534
1981-02-12,933,799.74695,133.25305
1981-02-13,877,766.7051,110.2949
1981-02-14,824,725.91064,98.0893600000001
1981-02-15,793,724.9043,68.0957
1981-02-16,782,716.5028,65.4972
1981-02-17,724,711.29944,12.70056
1981-02-18,739,706.13696,32.86304
1981-02-19,704,670.5876,33.4124
1981-02-20,693,657.6632,35.3368
1981-02-21,659,650.5031,8.49689999999998
1981-02-22,652,644.01935,7.98064999999997
1981-02-23,630,629.8525,0.147500000000036
1981-02-24,633,625.49054,7.50945999999999
1981-02-25,614,613.68933,0.310669999999959
1981-02-26,594,604.8755,-10.8755
1981-02-27,591,593.746,-2.74599999999998
1981-02-28,587,606.9079,-19.9079
1981-03-01,608,623.1149,-15.1149
1981-03-02,611,650.3807,-39.3807
1981-03-03,766,732.4351,33.5649
1981-03-04,871,743.3152,127.6848
1981-03-05,835,729.91095,105.08905
1981-03-06,821,726.7075,94.2925
1981-03-07,892,725.54706,166.45294
1981-03-08,1044,724.9696,319.0304
1981-03-09,1463,724.6201,738.3799
1981-03-10,1678,724.2128,953.7872
1981-03-11,1789,749.7319,1039.2681
1981-03-12,2205,838.2796,1366.7204
1981-03-13,2757,809.9999,1947.0001
1981-03-14,2184,1187.8688,996.1312
1981-03-15,1899,1204.6648,694.3352
1981-03-16,1775,1129.9589,645.0411
