"datetime","obs","pcr","res"
1981-01-01,391,460.0162,-69.0162
1981-01-02,354,641.9257,-287.9257
1981-01-03,652,685.42017,-33.42017
1981-01-04,987,815.86554,171.13446
1981-01-05,821,659.64905,161.35095
1981-01-06,688,529.4556,158.5444
1981-01-07,633,524.3537,108.6463
1981-01-08,576,479.27563,96.72437
1981-01-09,480,603.0384,-123.0384
1981-01-10,510,585.51544,-75.51544
1981-01-11,577,570.11475,6.88525000000004
1981-01-12,537,503.96866,33.03134
1981-01-13,483,532.84247,-49.84247
1981-01-14,433,745.7655,-312.7655
1981-01-15,962,877.8198,84.1802
1981-01-16,1155,723.719,431.281
1981-01-17,961,675.47345,285.52655
1981-01-18,972,584.31165,387.68835
1981-01-19,895,590.95605,304.04395
1981-01-20,905,534.66815,370.33185
1981-01-21,832,595.51685,236.48315
1981-01-22,758,584.94293,173.05707
1981-01-23,712,538.77954,173.22046
1981-01-24,666,579.10223,86.89777
1981-01-25,655,553.53516,101.46484
1981-01-26,627,558.9662,68.0338
1981-01-27,647,598.4339,48.5661
1981-01-28,636,553.86395,82.13605
1981-01-29,587,601.1653,-14.1653
1981-01-30,494,579.82104,-85.82104
1981-01-31,427,591.3422,-164.3422
1981-02-01,402,570.7127,-168.7127
1981-02-02,370,571.8322,-201.8322
1981-02-03,355,776.52576,-421.52576
1981-02-04,572,805.714,-233.714
1981-02-05,770,680.96,89.04
1981-02-06,722,586.35065,135.64935
1981-02-07,722,606.39777,115.60223
1981-02-08,737,602.6013,134.3987
1981-02-09,752,599.01733,152.98267
1981-02-10,696,550.51715,145.48285
1981-02-11,643,568.4106,74.5894
1981-02-12,571,595.3396,-24.3396
1981-02-13,531,548.2427,-17.2427
1981-02-14,463,589.07635,-126.07635
1981-02-15,412,539.6716,-127.6716
1981-02-16,370,577.2712,-207.2712
1981-02-17,300,591.4834,-291.4834
1981-02-18,314,534.0463,-220.0463
1981-02-19,264,584.5218,-320.5218
1981-02-20,248,529.67206,-281.67206
1981-02-21,253,536.97614,-283.97614
1981-02-22,241,565.37103,-324.37103
1981-02-23,231,534.5104,-303.5104
1981-02-24,195,518.7112,-323.7112
1981-02-25,202,566.404,-364.404
1981-02-26,183,507.30173,-324.30173
1981-02-27,176,528.84595,-352.84595
