"datetime","obs","pcr","res"
1981-01-01,890,785.8563,104.1437
1981-01-02,848,767.8542,80.1458
1981-01-03,937,840.81165,96.18835
1981-01-04,1410,954.7559,455.2441
1981-01-05,1810,1053.6805,756.3195
1981-01-06,1490,1116.9387,373.0613
1981-01-07,1390,1125.7426,264.2574
1981-01-08,1300,1118.6636,181.3364
1981-01-09,1210,1112.4976,97.5024000000001
1981-01-10,1150,1116.2844,33.7156
1981-01-11,1100,1121.1501,-21.1501000000001
1981-01-12,1100,1116.6136,-16.6135999999999
1981-01-13,1040,1115.6504,-75.6504
1981-01-14,990,1189.2776,-199.2776
1981-01-15,1030,1220.2471,-190.2471
1981-01-16,1230,1177.4078,52.5922
1981-01-17,1180,1153.814,26.1859999999999
1981-01-18,1210,1155.7379,54.2620999999999
1981-01-19,1280,1177.1543,102.8457
1981-01-20,1370,1199.3604,170.6396
1981-01-21,1430,1203.3772,226.6228
1981-01-22,1320,1175.18,144.82
1981-01-23,1200,1123.4244,76.5755999999999
1981-01-24,1140,1084.7623,55.2376999999999
1981-01-25,1060,1062.3394,-2.33940000000007
1981-01-26,989,1050.278,-61.278
1981-01-27,958,1043.3239,-85.3239000000001
1981-01-28,921,1014.6713,-93.6713
1981-01-29,908,960.0724,-52.0724
1981-01-30,873,914.81104,-41.81104
1981-01-31,855,889.4321,-34.4321
1981-02-01,791,875.6248,-84.6248000000001
1981-02-02,805,869.56805,-64.56805
1981-02-03,801,898.15814,-97.15814
1981-02-04,988,933.66675,54.33325
1981-02-05,1400,966.2817,433.7183
1981-02-06,1220,1017.8026,202.1974
1981-02-07,1200,1036.8462,163.1538
1981-02-08,1380,1025.0472,354.9528
1981-02-09,1490,1009.8929,480.1071
1981-02-10,1430,1012.0912,417.9088
1981-02-11,1390,1022.2925,367.7075
1981-02-12,1300,1025.9879,274.0121
1981-02-13,1200,1017.15,182.85
1981-02-14,1130,990.73627,139.26373
1981-02-15,1060,957.0726,102.9274
1981-02-16,1010,931.5023,78.4977
1981-02-17,962,916.0949,45.9050999999999
1981-02-18,941,905.93494,35.06506
1981-02-19,920,897.24927,22.75073
1981-02-20,896,882.3428,13.6572
1981-02-21,866,862.72577,3.27422999999999
1981-02-22,832,846.2314,-14.2314
1981-02-23,897,833.51,63.49
1981-02-24,771,822.53766,-51.53766
1981-02-25,776,811.589,-35.5890000000001
1981-02-26,744,800.72864,-56.72864
1981-02-27,741,789.00916,-48.00916
1981-02-28,750,789.16925,-39.16925
1981-03-01,751,791.9651,-40.9651
1981-03-02,779,788.8862,-9.88620000000003
1981-03-03,840,797.1284,42.8715999999999
1981-03-04,1040,830.74585,209.25415
1981-03-05,1050,871.0172,178.9828
1981-03-06,1020,889.35364,130.64636
1981-03-07,1040,893.4475,146.5525
1981-03-08,1140,891.11304,248.88696
1981-03-09,1430,903.62335,526.37665
1981-03-10,1820,904.54407,915.45593
1981-03-11,2230,892.5381,1337.4619
1981-03-12,2360,926.9285,1433.0715
1981-03-13,2830,984.13446,1845.86554
1981-03-14,3290,1018.2967,2271.7033
1981-03-15,2770,1138.0143,1631.9857
1981-03-16,2400,1281.0841,1118.9159
1981-03-17,2240,1312.7762,927.2238
1981-03-18,2090,1269.0171,820.9829
1981-03-19,1950,1214.034,735.966
1981-03-20,1800,1163.6451,636.3549
1981-03-21,1720,1123.3406,596.6594
1981-03-22,1590,1101.5029,488.4971
1981-03-23,1550,1102.1252,447.8748
1981-03-24,1620,1112.6537,507.3463
1981-03-25,1820,1118.3,701.7
1981-03-26,2080,1119.8027,960.1973
1981-03-27,2300,1130.6869,1169.3131
1981-03-28,2300,1146.0432,1153.9568
1981-03-29,2090,1175.452,914.548
1981-03-30,1970,1304.189,665.811
1981-03-31,1950,1559.8972,390.1028
1981-04-01,1980,1879.1376,100.8624
1981-04-02,2000,2210.41,-210.41
1981-04-03,1990,2231.5344,-241.5344
1981-04-04,1990,2073.7505,-83.7505000000001
1981-04-05,1960,1911.4082,48.5917999999999
1981-04-06,1910,1781.7317,128.2683
1981-04-07,1910,1695.927,214.073
1981-04-08,1860,1661.7098,198.2902
1981-04-09,1830,1637.4902,192.5098
1981-04-10,1800,1645.3926,154.6074
1981-04-11,1760,1688.3215,71.6785
1981-04-12,1740,1742.5698,-2.56979999999999
