"datetime","obs","pcr","res"
1981-01-01,132,135.88286,-3.88285999999999
1981-01-02,134,179.68384,-45.68384
1981-01-03,156,309.4066,-153.4066
1981-01-04,247,396.71893,-149.71893
1981-01-05,366,345.2812,20.7188
1981-01-06,410,277.68756,132.31244
1981-01-07,328,231.76634,96.23366
1981-01-08,242,203.76134,38.23866
1981-01-09,187,186.3186,0.681399999999996
1981-01-10,170,179.608,-9.608
1981-01-11,157,172.75957,-15.75957
1981-01-12,145,166.01933,-21.01933
1981-01-13,137,162.5675,-25.5675
1981-01-14,131,160.55232,-29.55232
1981-01-15,132,159.25325,-27.25325
1981-01-16,139,160.87128,-21.87128
1981-01-17,137,220.84608,-83.84608
1981-01-18,145,299.39453,-154.39453
1981-01-19,162,320.34082,-158.34082
1981-01-20,171,312.1748,-141.1748
1981-01-21,170,268.53827,-98.53827
1981-01-22,153,231.17609,-78.17609
1981-01-23,132,205.595,-73.595
1981-01-24,112,189.3754,-77.3754
1981-01-25,101,200.4909,-99.4909
1981-01-26,108,210.30484,-102.30484
1981-01-27,108,199.7426,-91.7426
1981-01-28,94.3,189.34045,-95.04045
1981-01-29,94.6,180.32095,-85.72095
1981-01-30,85.7,173.3329,-87.6329
1981-01-31,83.4,168.4588,-85.0588
1981-02-01,80.5,164.81097,-84.31097
1981-02-02,81.5,162.40427,-80.90427
1981-02-03,86,228.66754,-142.66754
1981-02-04,117,418.38367,-301.38367
1981-02-05,175,409.69296,-234.69296
1981-02-06,205,354.7434,-149.7434
1981-02-07,205,366.42203,-161.42203
1981-02-08,311,339.1747,-28.1747
1981-02-09,498,277.83322,220.16678
1981-02-10,611,235.57373,375.42627
1981-02-11,653,211.08371,441.91629
1981-02-12,537,197.01688,339.98312
1981-02-13,380,188.7423,191.2577
1981-02-14,282,183.82384,98.17616
1981-02-15,225,180.75061,44.24939
1981-02-16,194,178.73412,15.26588
1981-02-17,175,177.26723,-2.26723000000001
1981-02-18,163,175.9801,-12.9801
1981-02-19,153,174.62207,-21.62207
1981-02-20,145,173.10667,-28.10667
1981-02-21,136,171.4857,-35.4857
1981-02-22,129,169.79237,-40.79237
1981-02-23,126,168.0154,-42.0154
1981-02-24,126,166.27481,-40.27481
1981-02-25,115,165.54742,-50.54742
1981-02-26,111,165.78012,-54.78012
1981-02-27,108,165.23938,-57.23938
1981-02-28,104,164.0467,-60.0467
1981-03-01,100,163.0108,-63.0108
1981-03-02,103,161.7482,-58.7482
1981-03-03,108,160.58456,-52.58456
1981-03-04,121,159.84138,-38.84138
1981-03-05,124,159.18903,-35.18903
1981-03-06,117,158.04701,-41.04701
1981-03-07,115,156.49068,-41.49068
1981-03-08,157,154.79254,2.20746
1981-03-09,232,197.04741,34.95259
1981-03-10,314,311.11218,2.88781999999998
1981-03-11,423,402.97754,20.02246
1981-03-12,605,386.12427,218.87573
1981-03-13,800,340.64258,459.35742
1981-03-14,787,281.7259,505.2741
1981-03-15,600,239.3755,360.6245
1981-03-16,427,218.71413,208.28587
1981-03-17,335,204.23425,130.76575
1981-03-18,284,193.41159,90.58841
1981-03-19,255,187.30371,67.69629
1981-03-20,232,183.43141,48.56859
1981-03-21,207,181.53175,25.46825
1981-03-22,192,180.54465,11.45535
1981-03-23,176,195.62895,-19.62895
1981-03-24,173,212.58165,-39.58165
1981-03-25,202,211.49086,-9.49086
1981-03-26,222,207.55734,14.44266
1981-03-27,227,199.37616,27.62384
1981-03-28,237,190.9439,46.0561
1981-03-29,219,185.4152,33.5848
1981-03-30,197,181.57776,15.42224
1981-03-31,179,178.8906,0.109399999999994
1981-04-01,167,176.81018,-9.81018
1981-04-02,157,175.15555,-18.15555
1981-04-03,151,173.70708,-22.70708
1981-04-04,140,172.29196,-32.29196
1981-04-05,129,170.78435,-41.78435
1981-04-06,121,169.11969,-48.11969
1981-04-07,121,167.29532,-46.29532
1981-04-08,116,170.23135,-54.23135
1981-04-09,113,174.52557,-61.52557
1981-04-10,110,175.36621,-65.36621
1981-04-11,108,172.97722,-64.97722
